Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
IFC-124,Compliance,Encrypt and aggregate audit logs; automate compliance reporting,Security Eng + Compliance (STOA-Security),IFC-098,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Audit logging implemented;FILE:docs/planning/adr/ADR-008-audit-logging.md;FILE:docs/planning/DDD-context-map.puml;FILE:packages/db/prisma/schema.prisma;FILE:docs/operations/quality-gates.md;FILE:packages/db/prisma/schema-audit.prisma,"Audit logs encrypted and stored centrally; scheduled exports for compliance frameworks; data minimization applied; artifacts: encryption.ts, audit-logger.ts, retention-policy.md, compliance-report.md",Completed,"Audit retention meets regulatory needs (GDPR, SOC2, ISO 27001); report generation automated",9,ARTIFACT:apps/api/src/security/encryption.ts;ARTIFACT:apps/api/src/security/audit-logger.ts;ARTIFACT:docs/shared/retention-policy.md;ARTIFACT:artifacts/reports/compliance-report.md;EVIDENCE:.specify/sprints/sprint-9/attestations/IFC-124/context_ack.json,VALIDATE:pnpm typecheck;VALIDATE:pnpm test,90/180/360,2026-04-21,2026-04-30,100,IFC-098:FS,
PG-126,Public Pages,"Add in‑app onboarding, guided product tours and feedback collection",UX Designer + Frontend Dev (STOA-Domain),"PG-001,PG-002",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Design ready;FILE:docs/shared/review-checklist.md;FILE:docs/operations/pr-checklist.md;FILE:docs/company/brand/visual-identity.md;FILE:apps/web/src/app/(public)/page.tsx;FILE:apps/web/src/app/(public)/features/page.tsx,Users see guided tours on first login; ability to replay; feedback widget integrated; targets: >=70%; verified by: pnpm test,Backlog,Onboarding completion >70%; NPS score improvement,17,ARTIFACT:artifacts/misc/onboarding-config.json;ARTIFACT:apps/web/src/components/public/tour-components.tsx;ARTIFACT:apps/web/src/lib/public/feedback-service.ts;EVIDENCE:.specify/sprints/sprint-17/attestations/PG-126/context_ack.json,VALIDATE:pnpm test,90/180/360,2026-08-09,2026-08-18,0,"PG-001:FS,PG-002:FS",
PG-127,Public Pages,"Partner Application Workflow - Dedicated partner application form with specialized fields, routing, and onboarding process",Growth FE+BE (STOA-Foundation),"PG-006,PG-005,GTM-002",FILE:docs/design/page-registry.md;FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Partner page live;ENV:Contact form exists;FILE:apps/web/src/app/(public)/partners/page.tsx;FILE:apps/web/src/app/(public)/contact/page.tsx;FILE:packages/validators/src/contact-form.ts;FILE:docs/company/messaging/positioning.md;FILE:docs/company/brand/visual-identity.md;FILE:docs/company/brand/style-guide.md;FILE:docs/company/brand/accessibility-patterns.md,"Dedicated partner application form; specialized fields (company size, integration type, use case); separate routing/CRM tagging; partner-specific auto-response; artifacts: page.tsx, partner-application.ts, application-handler.ts; targets: Response <200ms, Lighthouse >=90, >=90% coverage; verified by: pnpm test",Backlog,Partner applications routed correctly; distinct from general contacts; onboarding workflow initiated; conversion rate tracked,20,ARTIFACT:apps/web/src/app/(public)/partners/apply/page.tsx;ARTIFACT:packages/validators/src/partner-application.ts;ARTIFACT:apps/web/src/lib/partners/application-handler.ts;ARTIFACT:apps/web/src/lib/partners/__tests__/application-handler.test.ts;ARTIFACT:apps/web/src/app/(public)/partners/apply/__tests__/page.test.tsx;EVIDENCE:.specify/sprints/sprint-20/attestations/PG-127/context_ack.json,VALIDATE:pnpm test;GATE:lighthouse-gte-90;GATE:coverage-gte-90,120/240/480,2026-09-20,2026-10-01,0,"PG-006:FS,PG-005:FS,GTM-002:FS",
IFC-125,AI Foundation,"Implement guardrails for prompt injection, data leakage, and monitor AI bias",AI Specialist + Security (STOA-Security),"IFC-005,IFC-008",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:AI models integrated;FILE:docs/planning/adr/ADR-007-data-governance.md;FILE:docs/shared/review-checklist.md;FILE:docs/operations/pr-checklist.md;FILE:apps/ai-worker/src/chains/scoring.chain.ts;FILE:artifacts/reports/compliance-report.md,"Prompt sanitization, output redaction, bias detection metrics; incidents logged; artifacts: prompt-sanitizer.ts, bias-metrics.csv, ai-guardrails-report.md; targets: zero errors; verified by: pnpm test; GuardrailsAIService must have audit logger integration completed, not deferred with TODO",Completed,Zero prompt injection incidents; bias score below threshold,6,SPEC:.specify/sprints/sprint-6/specifications/IFC-125-spec.md;PLAN:.specify/sprints/sprint-6/planning/IFC-125-plan.md;EVIDENCE:.specify/sprints/sprint-6/attestations/IFC-125/context_pack.md;EVIDENCE:.specify/sprints/sprint-6/attestations/IFC-125/context_ack.json;ARTIFACT:apps/api/src/shared/prompt-sanitizer.ts;ARTIFACT:artifacts/metrics/bias-metrics.csv;ARTIFACT:docs/shared/ai-guardrails-report.md,VALIDATE:pnpm test;GATE:no-deferred-audit-logging,180/360/720,2026-05-17,2026-05-28,100,"IFC-005:FS,IFC-008:FS",
IFC-126,Documentation,Continuously maintain ADR registry and developer guide updates,Tech Writer + PM (STOA-Foundation),"IFC-100,GOV-001",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:ADR templates ready;FILE:docs/architecture/adr/000-template.md;FILE:docs/company/brand/visual-identity.md;FILE:docs/shared/adr-index.md,"All significant design decisions captured via ADRs; developer guide updated per sprint; targets: >=100%, >=80%",Completed,ADR coverage 100%; developer satisfaction >80%,7,ARTIFACT:docs/dev-guide.md;ARTIFACT:artifacts/misc/adr-index.csv;EVIDENCE:.specify/sprints/sprint-7/attestations/IFC-126/context_ack.json,AUDIT:code-review;GATE:coverage-gte-80,60/120/240,2026-05-31,2026-06-06,100,"IFC-100:FS,GOV-001:FS",
IFC-127,Security,Implement tenant isolation at database and application layers,Backend Dev (STOA-Domain),"IFC-098,IFC-072",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Supabase and RLS features studied;FILE:docs/planning/adr/ADR-004-multi-tenancy.md;FILE:docs/planning/adr/ADR-007-data-governance.md;FILE:docs/architecture/hex-boundaries.md;FILE:packages/db/prisma/schema.prisma;FILE:docs/security/zero-trust-design.md;FILE:docs/security/owasp-checklist.md;FILE:packages/db/prisma/schema-audit.prisma,"Row‑level security policies applied; tenant context enforced in services; per‑tenant resource limits; artifacts: rls-policies.sql, tenant-context.ts, context_ack.json; verified by: pnpm test",Completed,No cross‑tenant data access; isolation tests pass,5,SPEC:.specify/sprints/sprint-5/specifications/IFC-127-spec.md;PLAN:.specify/sprints/sprint-5/planning/IFC-127-plan.md;EVIDENCE:.specify/sprints/sprint-5/attestations/IFC-127/context_pack.md;EVIDENCE:.specify/sprints/sprint-5/attestations/IFC-127/context_ack.json;ARTIFACT:infra/supabase/migrations/20250124000000_rls_policies.sql;ARTIFACT:infra/supabase/migrations/20260103000000_add_tenant_isolation.sql;ARTIFACT:apps/api/src/security/tenant-context.ts;ARTIFACT:packages/db/prisma/migrations/add-multi-tenancy-diff.sql;ARTIFACT:packages/db/prisma/migrations/add_multi_tenancy_manual.sql;ARTIFACT:packages/db/prisma/migrations/tenant-rls.sql,VALIDATE:pnpm test;AUDIT:security-review,180/360/720,2026-05-03,2026-05-14,100,"IFC-098:FS,IFC-072:FS",
IFC-128,AI Foundation,Establish AI output review and manual fallback processes,QA Lead + Tech Lead (STOA-Quality),ENV-017-AI,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:AI generation features integrated;FILE:docs/shared/review-checklist.md;FILE:docs/operations/pr-checklist.md;FILE:artifacts/misc/test-orchestration.json,"All AI-generated outputs (code, tests, docs) reviewed by humans; fallback processes documented and tested; targets: zero errors; BaseAgent must not contain placeholder demonstration code",Completed,AI suggestions accepted vs rejected ratio tracked; zero regressions from AI outputs,3,ARTIFACT:docs/shared/ai-review-checklist.md;ARTIFACT:docs/shared/fallback-procedure.md;EVIDENCE:.specify/sprints/sprint-3/attestations/IFC-128/context_ack.json,AUDIT:code-review;VALIDATE:pnpm test;GATE:no-placeholder-code,90/180/360,2026-01-25,2026-02-03,100,ENV-017-AI:FS,
IFC-129,Testing,Write UI and contract tests for core pages and tRPC endpoints,QA + Frontend Dev (STOA-Quality),IFC-110,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Core pages built;FILE:docs/planning/adr/ADR-001-modern-stack.md;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md;FILE:docs/company/brand/visual-identity.md,"Playwright/Cypress tests cover navigation, forms, interactive components; contract tests validate tRPC endpoints; artifacts: ui-coverage.html, context_ack.json; targets: >=90%, <5min; gates: coverage-gte-90",Completed,"Coverage ≥90%, tests run <5min",6,ARTIFACT:artifacts/misc/coverage-reports/ui-coverage.html;EVIDENCE:.specify/sprints/sprint-6/attestations/IFC-129/context_ack.json,VALIDATE:pnpm test;GATE:coverage-gte-90,120/240/480,2026-03-08,2026-03-18,100,IFC-110:FS,
IFC-130,Validation,"Release governance: staging auto-deploy, promotion policy, quality/security gates, rollback criteria",DevOps Lead (STOA-Automation),"ENV-005-AI,IFC-111",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:CI/CD pipeline exists; environments defined;FILE:docs/security/zero-trust-design.md;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md;FILE:docs/operations/quality-gates.md;FILE:docs/operations/pr-checklist.md;FILE:docs/operations/release-rollback.md;FILE:docs/architecture/decision-workflow.md;FILE:.github/workflows/ci.yml;FILE:artifacts/misc/sonar-project.properties,Promotion workflow documented; staging deploy automated; prod promotion requires gate pass + approval; rollback playbook defined; release checklist template in repo; targets: >=95%,Completed,Staging deploy success >=95%; prod promotion time <=30 min; rollback tested in staging,5,ARTIFACT:docs/release/promotion-policy.md;ARTIFACT:.github/workflows/release.yml;ARTIFACT:docs/operations/runbooks/release-checklist.md;EVIDENCE:.specify/sprints/sprint-5/attestations/IFC-130/context_ack.json;ARTIFACT:docs/planning/adr/ADR-021-governance-ops-release.md;ARTIFACT:docs/planning/prd-release-governance.md,AUDIT:code-review,90/180/360,2026-02-26,2026-03-05,100,"ENV-005-AI:FS,IFC-111:FS",
IFC-131,Foundation Setup,Architecture boundary enforcement: domain/infrastructure dependency rules + architecture tests in CI,Tech Lead (STOA-Foundation),IFC-106,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:Ports/adapters defined; repo structure established;FILE:docs/planning/adr/ADR-001-modern-stack.md;FILE:docs/architecture/hex-boundaries.md;FILE:docs/architecture/repo-layout.md;FILE:docs/planning/DDD-context-map.puml;FILE:docs/tdd-guidelines.md;FILE:docs/operations/quality-gates.md;FILE:docs/architecture/decision-workflow.md,Module boundaries enforced; forbidden dependency rules added; architecture tests run in CI; documentation + ADR added,Completed,0 boundary violations on main; CI blocks non-compliant changes,4,ARTIFACT:docs/architecture/hex-boundaries.md;ARTIFACT:docs/planning/adr/ADR-010-architecture-boundary-enforcement.md;EVIDENCE:.specify/sprints/sprint-4/attestations/IFC-131/context_ack.json,AUDIT:code-review;VALIDATE:pnpm test,90/180/360,2026-02-12,2026-02-19,100,IFC-106:FS,
