Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
ENG-OPS-001,Engineering Operations,"Engineering Playbook (SDLC, PR rules, quality gates, release/rollback)",Tech Lead + DevOps + QA Lead (STOA-Quality),"ENV-002-AI,ENV-005-AI,ENV-010-AI",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:CI pipeline baseline; lint/typecheck/test scripts present;FILE:docs/architecture/adr/ADR-005-workflow-engine.md;FILE:docs/shared/review-checklist.md;FILE:docs/operations/engineering-playbook.md;FILE:docs/operations/quality-gates.md;FILE:docs/operations/pr-checklist.md;FILE:docs/operations/release-rollback.md;FILE:eslint.config.mjs;FILE:.github/workflows/ci.yml,"Engineering handbook written: branching strategy, PR checklist, code review standards, required gates (audit-matrix Tier 1), release flow, rollback steps, incident basics, and docs conventions; includes strict vs local"" policy for WARN/FAIL""; verified by: pnpm lint",Completed,"PR checklist adopted; gate mapping complete; rollback procedure documented; ≤1 page fast path"" summary included""",0,ARTIFACT:docs/operations/engineering-playbook.md;docs/operations/quality-gates.md;docs/operations/pr-checklist.md;docs/operations/release-rollback.md;EVIDENCE:.specify/sprints/sprint-0/attestations/ENG-OPS-001/attestation.json,VALIDATE:pnpm lint,90/180/360,2025-12-18,2025-12-26,100,"ENV-002-AI:FS,ENV-005-AI:FS,ENV-010-AI:FS",
GOV-001,Architecture Governance,"Architecture Governance Pack (ADR + ARP templates, decision workflow, flowcharts)",Backend Dev + Architect (STOA-Domain),ENG-OPS-001,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Agreement on architecture conventions (C4/diagrams); decision authority clarified;FILE:docs/architecture/adr/ADR-001-modern-stack.md;FILE:docs/architecture/adr/ADR-005-workflow-engine.md;FILE:docs/architecture/hex-boundaries.md;FILE:docs/architecture/repo-layout.md;FILE:docs/planning/DDD-context-map.puml;FILE:docs/operations/quality-gates.md;FILE:docs/architecture/adr/template.md;FILE:docs/architecture/decision-workflow.md;FILE:docs/operations/engineering-playbook.md,"Created ADR template, ARP template, decision workflow, and diagram/flowchart conventions; includes folder structure, naming, and example ADR/ARP; defines when decisions are required and how to approve; verified by: pnpm lint",Completed,Templates published; workflow clear; at least 1 example ADR/ARP; adoption guide ≤1 page,1,ARTIFACT:docs/architecture/adr/template.md;docs/architecture/arp/000-template.md;docs/architecture/decision-workflow.md;docs/architecture/diagrams/README.md;docs/architecture/flowcharts/README.md;EVIDENCE:.specify/sprints/sprint-1/attestations/GOV-001/attestation.json,VALIDATE:pnpm lint,90/180/360,2025-12-28,2026-01-06,100,ENG-OPS-001:FS,
ANALYTICS-001,Analytics & Segmentation,Customer Segmentation Spec (RFM + ABC) + Event Taxonomy,PM + DA (STOA-Foundation),"DOC-001,GTM-001",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Access to ICP/personas; agreement on CRM prioritization goals; any existing analytics assumptions;FILE:docs/company/master-brief.md;FILE:docs/company/go-to-market/icp.md,"Defines RFM inputs/outputs, ABC curve methodology, segmentation thresholds, and event taxonomy; specifies dashboards, KPIs, and minimal instrumentation requirements to support CRM prioritization; includes data privacy notes and open questions log; artifacts: rfm-abc-spec.md, event-taxonomy.md, dashboards-requirements.md; verified by: pnpm lint",Completed,RFM/ABC spec complete; event taxonomy covers core flows; requirements mapped to ENV-016-AI + IFC-037/038; ≤5 open questions,0,ARTIFACT:docs/analytics/rfm-abc-spec.md;docs/analytics/event-taxonomy.md;docs/analytics/dashboards-requirements.md;EVIDENCE:.specify/sprints/sprint-0/attestations/ANALYTICS-001/attestation.json,VALIDATE:pnpm lint,90/180/360,2025-12-19,2025-12-27,100,"DOC-001:FS,GTM-001:FS",
PG-083,Core CRM,Calendar,CRM FE+BE (STOA-Foundation),PG-080,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Calendar integration;ENV:scheduling;FILE:apps/web/src/app/(crm)/activities/page.tsx;FILE:docs/design/sitemap.md;FILE:docs/design/ui-flow-mapping.md;FILE:docs/design/page-registry.md;FILE:apps/project-tracker/docs/metrics/_global/flows/flow-index.md,"Response <200ms, Lighthouse ≥90, events synced; artifacts: page.tsx, calendar-view.tsx, event-scheduler.ts",Backlog,"Calendar working, events synced, scheduling functional",22,ARTIFACT:apps/web/src/app/calendar/(list)/page.tsx;ARTIFACT:apps/web/src/components/calendar/calendar-view.tsx;ARTIFACT:apps/web/src/lib/calendar/event-scheduler.ts;EVIDENCE:.specify/sprints/sprint-22/attestations/PG-083/context_ack.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,90/180/360,2026-10-20,2026-10-26,0,PG-080:FS,
PG-084,Core CRM,Emails Cross-entity scope: wire EmailCompose component (from PG-141) into Lead and Contact detail page Compose buttons. Pre-fill recipient with entity email. Replace activity-derived email list with real email integration data.,CRM FE+BE (STOA-Foundation),"IFC-099,IFC-144",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Email integration;ENV:threading;FILE:artifacts/reports/connector-status-dashboard.json;FILE:docs/design/sitemap.md;FILE:docs/design/ui-flow-mapping.md;FILE:docs/design/page-registry.md;FILE:apps/project-tracker/docs/metrics/_global/flows/flow-index.md,"Response <200ms, Lighthouse ≥90, emails organized; artifacts: page.tsx, email-client.tsx, email-tracker.ts; Compose buttons on Lead/Contact detail pages open EmailCompose sheet; email list sourced from real integration",Backlog,"Emails integrated, threads working, tracking active",22,ARTIFACT:apps/web/src/app/emails/page.tsx;ARTIFACT:apps/web/src/components/email/email-client.tsx;ARTIFACT:apps/web/src/lib/email/email-tracker.ts;EVIDENCE:.specify/sprints/sprint-22/attestations/PG-084/context_ack.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,90/180/360,2026-10-22,2026-10-28,0,"IFC-099:FS,IFC-144:FS",
PG-085,Core CRM,Email Templates (all auth/notification/in-app surfaces; findings: git issue #350 + debt EMAIL-BRAND-001/SEC-AUTH-NOTIF-001),CRM FE+BE (STOA-Foundation),"PG-084,IFC-144",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Template builder;ENV:personalization;FILE:apps/web/src/app/(crm)/emails/page.tsx;FILE:docs/design/sitemap.md;FILE:docs/design/ui-flow-mapping.md;FILE:docs/design/page-registry.md;FILE:apps/project-tracker/docs/metrics/_global/flows/flow-index.md,"Response <200ms, Lighthouse ≥90, templates saved",Backlog,"Templates created, personalization working, sending enabled",22,ARTIFACT:apps/web/src/app/templates/email/page.tsx;ARTIFACT:apps/web/src/components/templates/template-builder.tsx;ARTIFACT:apps/web/src/lib/templates/personalization.ts;EVIDENCE:.specify/sprints/sprint-22/attestations/PG-085/context_ack.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-10-24,2026-10-26,0,"PG-084:FS,IFC-144:FS",
PG-086,Core CRM,SMS Templates,CRM FE+BE (STOA-Foundation),"PG-085,IFC-144",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:SMS templates;ENV:compliance;FILE:apps/web/src/app/(crm)/templates/email/page.tsx;FILE:docs/design/sitemap.md;FILE:docs/design/ui-flow-mapping.md;FILE:docs/design/page-registry.md;FILE:apps/project-tracker/docs/metrics/_global/flows/flow-index.md,"Response <200ms, Lighthouse ≥90, SMS ready; artifacts: page.tsx, sms-builder.tsx, compliance-checker.ts",Backlog,"SMS templates created, compliance checked, sending enabled",22,ARTIFACT:apps/web/src/app/templates/sms/page.tsx;ARTIFACT:apps/web/src/components/templates/sms-builder.tsx;ARTIFACT:apps/web/src/lib/templates/compliance-checker.ts;EVIDENCE:.specify/sprints/sprint-22/attestations/PG-086/context_ack.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-10-26,2026-10-28,0,"PG-085:FS,IFC-144:FS",
PG-087,Core CRM,Calls,CRM FE+BE (STOA-Foundation),"IFC-099,IFC-144",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Call logging;ENV:recording integration;FILE:artifacts/reports/connector-status-dashboard.json;FILE:docs/design/sitemap.md;FILE:docs/design/ui-flow-mapping.md;FILE:docs/design/page-registry.md;FILE:apps/project-tracker/docs/metrics/_global/flows/flow-index.md,"Response <200ms, Lighthouse ≥90, calls tracked; artifacts: page.tsx, call-logger.tsx, recording-player.tsx",Backlog,"Calls logged, recordings linked, analytics shown",22,ARTIFACT:apps/web/src/app/calls/page.tsx;ARTIFACT:apps/web/src/components/calls/call-logger.tsx;ARTIFACT:apps/web/src/components/calls/recording-player.tsx;EVIDENCE:.specify/sprints/sprint-22/attestations/PG-087/context_ack.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,90/180/360,2026-10-28,2026-11-03,0,"IFC-099:FS,IFC-144:FS",
PG-088,Core CRM,Notes,CRM FE+BE (STOA-Foundation),PG-080,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Note taking;ENV:mentions;ENV:sharing;FILE:apps/web/src/app/(crm)/activities/page.tsx;FILE:docs/design/sitemap.md;FILE:docs/design/ui-flow-mapping.md;FILE:docs/design/page-registry.md;FILE:apps/project-tracker/docs/metrics/_global/flows/flow-index.md,"Response <200ms, Lighthouse ≥90, notes saved; artifacts: page.tsx, note-editor.tsx, mention-handler.ts",Backlog,"Notes created, mentions working, sharing enabled",23,ARTIFACT:apps/web/src/app/notes/page.tsx;ARTIFACT:apps/web/src/components/notes/note-editor.tsx;ARTIFACT:apps/web/src/lib/notes/mention-handler.ts;EVIDENCE:.specify/sprints/sprint-23/attestations/PG-088/context_ack.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-11-01,2026-11-03,0,PG-080:FS,
PG-089,Core CRM,Files Cross-entity scope: also wire file upload/download handlers on Lead detail (upload btn download btn) Contact detail (document section) and Deal detail (files section). Reuse upload/download infrastructure across all entity detail pages.,CRM FE+BE (STOA-Foundation),IFC-094,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:File management;ENV:versioning;FILE:artifacts/reports/e-signature-test.pdf;FILE:docs/design/sitemap.md;FILE:docs/design/ui-flow-mapping.md;FILE:docs/design/page-registry.md;FILE:apps/project-tracker/docs/metrics/_global/flows/flow-index.md,"Response <200ms, Lighthouse ≥90, files organized; File upload/download buttons functional on Lead Contact Deal detail pages in addition to standalone Files page",Backlog,"Files uploaded, versions tracked, sharing working",23,ARTIFACT:apps/web/src/app/files/page.tsx;ARTIFACT:apps/web/src/components/documents/file-manager.tsx;ARTIFACT:apps/web/src/lib/documents/version-control.ts;EVIDENCE:.specify/sprints/sprint-23/attestations/PG-089/context_ack.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,90/180/360,2026-11-03,2026-11-09,0,IFC-094:FS,
