id,sprint,section,status,classification,confidence,attestationJson,attProvenance,attVerdict,attSpecPlan,commitCount,prRefs,deliverable,implRefs,evidence,gaps,possibleFalsePositive,fpJustification,description
ENV-017-AI,1,Foundation Setup,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,2,,,1,"attestation.json(verdict=COMPLETE,prov=false); 2 commits; 1 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Automated Integration Testing
ENV-018-AI,1,Foundation Setup,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,0,"attestation.json(verdict=COMPLETE,prov=false); 1 commits","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Sprint Planning and Velocity Prediction
IFC-001,1,Validation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,4,,,7,"attestation.json(verdict=COMPLETE,prov=false); 4 commits; 7 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-001: Technical Architecture Spike - Modern Stack
IFC-002,1,Validation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,2,,,0,"attestation.json(verdict=COMPLETE,prov=false); 2 commits","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-001: Domain Model Design (DDD)
IFC-003,1,Validation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,18,"attestation.json(verdict=COMPLETE,prov=false); 1 commits; 18 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-001: tRPC API Foundation
IFC-004,2,Validation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,4,446,,4,"attestation.json(verdict=COMPLETE,prov=false); 4 commits; PRs:446; 4 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-002: Next.js 16.0.10 Lead Capture UI
IFC-005,2,Validation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,590,,0,"attestation.json(verdict=COMPLETE,prov=false); PRs:590","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,"FLOW-002, FLOW-011: LangChain AI Scoring Prototype"
IFC-006,3,Validation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,4,"attestation.json(verdict=COMPLETE,prov=false); 4 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-002: Supabase Integration Test
IFC-007,3,Validation,Completed,entregue-comprovada,95,true,true,COMPLETE,,2,341,,30,"attestation.json(verdict=COMPLETE,prov=true); 2 commits; PRs:341; 30 impl-refs",,false,,PHASE-003: Performance Benchmarks - Modern Stack
IFC-008,2,Validation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=false); 1 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-003: Security Assessment - OWASP + ISO 42001 Prep
IFC-009,4,Validation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,0,"attestation.json(verdict=COMPLETE,prov=false); 1 commits","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,"PHASE-002: Team Capability Assessment - Modern Stack (Next.js 16.0.10 App Router, Turbopack FS caching, Cache Components"
IFC-010,6,Decision Gate,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-001: Phase 1 Go/No-Go Decision
IFC-011,3,Parallel Track,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,2,"attestation.json(verdict=COMPLETE,prov=false); 2 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-002: Supabase Free Tier Optimization
IFC-012,6,MVP Week 1,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-002: Turborepo Monorepo Setup
