Tabela de artefatos:
| Layer | Artifact | Purpose | Ferramentas | Critérios |
|---|---|---|---|---|
| 1. Arquitetura e Topologia |  |  |  |  |
| Architecture Thinking | Diagrama C4 (nível 1 e 2) | Fornecer visão geral do sistema, seus contêineres e componentes principais, e como se relacionam. | Structurizr, Draw.io, Lucidchart, PlantUML, C4-PlantUML | Clareza, Consistência, Abrangência, Legibilidade |
| Architecture Thinking | Mapa de Microsserviços | Detalhar nome, função, donos, tecnologias e APIs principais de cada microsserviço. | Lucidchart, Draw.io, Confluence, Miro, Excel/Google Sheets | Atualização, Precisão, Completude (donos, APIs), Acessibilidade |
| Architecture Thinking | Dependências Técnicas | Documentar bancos de dados, filas, APIs externas críticas, e serviços cloud utilizados. | Lucidchart, Cloudcraft, Confluence, Draw.io | Exatidão, Completude, Clareza das interdependências, Atualização |
| Architecture Thinking | Diagramas de Sequência (Fluxos Críticos) | Detalhar interações específicas entre componentes para fluxos de negócio ou técnicos importantes. | PlantUML, WebSequenceDiagrams, Lucidchart, Draw.io, StarUML | Precisão do fluxo, Clareza, Foco no essencial, Legibilidade |
| Architecture Thinking | Diagramas de Componentes (Microsserviços Chave) | Mostrar estrutura interna granular de microsserviços-chave, destacando módulos ou funções críticas. | Structurizr, Draw.io, Enterprise Architect, Lucidchart, PlantUML | Detalhamento adequado, Clareza, Relevância para manutenção/entendimento |
| Architecture Thinking | Topologia de Rede | Documentar infraestrutura de rede física/lógica (VPCs, sub-redes, LB, FW, Gateways, Zonas). | Cloudcraft, Lucidscale, Visio, Draw.io, AWS/Azure/GCP Consoles | Precisão, Completude, Clareza dos fluxos de rede, Segurança implícita |
| Architecture Thinking | Diagramas de Dados (Lógicos e Físicos) | Modelar estrutura de dados (MER/DER, esquemas NoSQL) e fluxo/transformação de dados entre componentes. | Erwin, Lucidchart, Draw.io, MySQL Workbench, pgModeler, Hackolade | Precisão do modelo, Normalização (se aplicável), Clareza, Completude |
| Architecture Thinking | Diagramas de Implantação (Deployment Diagrams) | Mapear artefatos de software para a infraestrutura física/virtual (servidores, contêineres, K8s). | Draw.io, Lucidchart, PlantUML, Kubernetes manifests, Docker Compose files | Exatidão, Correspondência com a realidade, Clareza da distribuição |
| Architecture Thinking | Visão Geral de Infraestrutura como Código (IaC) | Descrever ferramentas (Terraform, etc.) e estrutura dos scripts de IaC, destacando módulos. | Confluence, GitHub (READMEs em repos IaC), Notion | Clareza da estrutura, Relevância dos destaques, Links para repositórios |
| Architecture Thinking | Diagramas de Estado (Componentes/Entidades Chave) | Detalhar estados e transições de componentes ou entidades de negócio com ciclos de vida complexos. | PlantUML, Draw.io, Lucidchart, StateMachine Cat | Completude dos estados/transições, Clareza, Exatidão |
| Planificação | Blueprint do Projeto/Solução | Definir visão técnica inicial, escopo, principais componentes e tecnologias propostas. | Miro, Lucidchart, Confluence, Google Docs/Slides | Clareza do escopo, Justificativa das escolhas, Alinhamento com objetivos |
| Ownership Clarity | Mapa de Responsabilidades de Sistemas/Componentes | Clarificar quem (time/indivíduo) é responsável por cada sistema, API, módulo ou componente. | Confluence, Lucidchart, Excel/Google Sheets, Backstage.io | Clareza, Atualização, granularidade adequada, Fácil acesso |
| 2. Contexto do Domínio de Negócio |  |  |  |  |
| Business Context | Glossário de Termos | Definir conceitos e terminologia do domínio de negócio para comunicação uniforme. | Confluence, Notion, Glossarist, Excel/Google Sheets | Clareza das definições, Abrangência, Consistência, Acessibilidade |
| Business Context | Objetivo do Produto/Sistema | Explicar o problema de negócio que o sistema resolve, para quem e suas prioridades estratégicas. | Confluence, Notion, Productboard, Roadmunk, Miro | Clareza, Concisão, Alinhamento estratégico, Foco no valor |
| Business Context | Personas e Fluxos Principais de Usuário | Descrever perfis de usuários e suas jornadas de interação com o sistema. | Miro, Figma, Lucidchart, UXPressia, Xtensio | Representatividade, Clareza dos fluxos, Foco nas necessidades do usuário |
| Business Context | Casos de Uso ou User Stories Detalhados | Descrever cenários de interação, incluindo critérios de aceite, para guiar desenvolvimento e testes. | Jira, Azure DevOps, Trello, Confluence, Yodiz | Clareza (INVEST), Testabilidade, Rastreabilidade, Completude (critérios de aceite) |
| Business Context | Fluxos de Processos de Negócio (BPMN ou similar) | Mapear visualmente ciclos de vida de processos de negócio críticos. | Camunda Modeler, Bizagi Modeler, Lucidchart, Draw.io, Visio | Precisão, Clareza da notação, Completude do fluxo, Identificação de atores |
| Business Context | Regras de Negócio Explícitas | Detalhar regras específicas que governam o comportamento do sistema e decisões. | Confluence, Notion, Google Docs, Drools (para automação), RuleBook | Clareza, Inambiguidade, Atomicidade, Rastreabilidade (origem da regra) |
