Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
IFC-233,Core CRM,"Wire Unused Backend tRPC Endpoints - ~20 built but unused tRPC procedures. Lead: convertToDeal, getHotLeads, getReadyForQualification, bulkScore. Contact: getByEmail, linkToAccount, unlinkFromAccount, search, linkToLead, unlinkFromLead, getTimeline, logActivity. Opportunity: create, getById, getHistory, getProducts, getPipeline, stats. Account: create, update. Task: stats, assign, reschedule. Wire each to appropriate frontend UI or remove if not needed.",Full Stack Dev (STOA-Domain),,FILE:apps/api/src/modules/lead/lead.router.ts;FILE:apps/api/src/modules/contact/contact.router.ts;FILE:apps/api/src/modules/opportunity/opportunity.router.ts;FILE:apps/api/src/modules/account/account.router.ts;FILE:apps/api/src/modules/task/task.router.ts,All listed tRPC procedures either wired to frontend UI or explicitly removed with justification; no dead backend code; tests >=90%,Backlog,Zero unused tRPC procedures remain; all wired endpoints have frontend consumers,20,ARTIFACT:apps/web/src/app/leads/[id]/page.tsx;ARTIFACT:apps/web/src/app/contacts/[id]/page.tsx;EVIDENCE:.specify/sprints/sprint-20/attestations/IFC-233/context_ack.json,VALIDATE:pnpm --filter web typecheck;VALIDATE:pnpm --filter api typecheck;VALIDATE:pnpm --filter web test --run;GATE:coverage-gte-90,60/120/240,,,0,,
IFC-234,Core CRM,"Settings Pages Wiring - 4 settings pages with hardcoded data and inert buttons. Team: hardcoded 4-person array, inert Invite/Remove/Role buttons. Integrations: hardcoded provider list, inert Connect/Disconnect buttons. Notifications: hardcoded const, no useState, no onClick on toggles. Account: profile name/email has no save mutation, 3 security buttons (Change Password, Enable 2FA, Download Data) have no onClick. Wire all to real tRPC mutations and queries.",Frontend Dev (STOA-Quality),,FILE:apps/web/src/app/settings/team/page.tsx;FILE:apps/web/src/app/settings/integrations/page.tsx;FILE:apps/web/src/app/settings/notifications/page.tsx;FILE:apps/web/src/app/settings/account/page.tsx,Team page loads real users from API with working Invite/Remove/Role; Integrations shows real connection status; Notifications toggles persist via mutation; Account profile saves name/email; security buttons functional; tests >=90%,Backlog,All settings pages load real data; mutations complete <500ms; no hardcoded arrays,18,ARTIFACT:apps/web/src/app/settings/team/page.tsx;ARTIFACT:apps/web/src/app/settings/integrations/page.tsx;ARTIFACT:apps/web/src/app/settings/notifications/page.tsx;ARTIFACT:apps/web/src/app/settings/account/page.tsx;EVIDENCE:.specify/sprints/sprint-18/attestations/IFC-234/context_ack.json,VALIDATE:pnpm --filter web typecheck;VALIDATE:pnpm --filter web test --run;GATE:coverage-gte-90,60/120/240,,,0,,
IFC-235,Core CRM,"Lead Detail AI Chat Panel - Add AI chat panel to Lead detail page for entity-scoped conversations. Backend: conversation.router.ts is fully built with 13 endpoints but NOT registered in router.ts - register it. Frontend: build LeadChatPanel component using conversation API with contextType=LEAD, contextId=leadId. Similar to dashboard TeamChatWidget but with real API calls (TeamChatWidget is decorative with hardcoded messages). ConversationRecord/MessageRecord Prisma models exist.",Full Stack Dev (STOA-Domain),IFC-069,FILE:apps/api/src/modules/agent/conversation.router.ts;FILE:apps/api/src/router.ts;FILE:apps/web/src/app/leads/[id]/page.tsx;FILE:apps/web/src/components/dashboard/widgets/TeamChatWidget.tsx,conversation router registered in router.ts; LeadChatPanel component sends/receives messages via API; entity-scoped to current lead; message history persisted; streaming responses; tests >=90%,Backlog,Message send <500ms; chat history loads <1s; real AI responses not hardcoded,22,ARTIFACT:apps/web/src/components/leads/LeadChatPanel.tsx;ARTIFACT:apps/api/src/router.ts;EVIDENCE:.specify/sprints/sprint-22/attestations/IFC-235/context_ack.json,VALIDATE:pnpm --filter web typecheck;VALIDATE:pnpm --filter api typecheck;VALIDATE:pnpm --filter web test --run;GATE:coverage-gte-90,60/120/240,,,0,IFC-069:FS,
IFC-236,Core CRM,Recent Activity Empty State CTA - Overview tab shows generic 'No activities yet' with no call to action. Add 'Log your first activity' CTA button linking to Activity tab textarea. Apply same pattern to Contact detail page. Page: leads/[id]/page.tsx line 1600.,Frontend Dev (STOA-Quality),,FILE:apps/web/src/app/leads/[id]/page.tsx,Recent Activity empty state has 'Log your first activity' CTA; CTA navigates to Activity tab; applied to Contact detail; tests >=90%,Completed,CTA visible on empty state; click navigates correctly,16,ARTIFACT:apps/web/src/app/leads/[id]/page.tsx;ARTIFACT:apps/web/src/app/contacts/[id]/page.tsx;EVIDENCE:.specify/sprints/sprint-16/attestations/IFC-236/attestation.json;SPEC:.specify/sprints/sprint-16/specifications/IFC-236-spec.md;PLAN:.specify/sprints/sprint-16/planning/IFC-236-plan.md,VALIDATE:pnpm --filter web typecheck;VALIDATE:pnpm --filter web test --run;GATE:coverage-gte-90,15/30/60,2026-03-12,2026-03-12,100,,
IFC-237,Core CRM,Lead Router Security - Tenant Isolation & Domain Bypass. Fix 4 CRITICAL/MEDIUM security issues: (1) scoreWithAI fire-and-forget uses raw ctx.prisma instead of prismaWithTenant - cross-tenant data leak risk [S2]. (2) logActivity $transaction uses raw ctx.prisma - may bypass tenant middleware [S3]. (3) bulkUpdateStatus uses direct Prisma updateMany bypassing Lead.changeStatus() domain validation - skips status transition rules and domain events [S4]. (4) getHotLeads/getReadyForQualification pass userId as ownerId without explicit tenantId [S9]. Fix: Replace ctx.prisma with prismaWithTenant in all cases. Route bulkUpdateStatus through domain model. Add explicit tenantId to hot/ready queries.,Backend Dev (STOA-Domain),,,All lead router procedures use prismaWithTenant; bulkUpdateStatus routes through Lead.changeStatus(); getHotLeads has explicit tenantId; tenant isolation integration tests pass; no raw ctx.prisma in lead router,Completed,0 raw ctx.prisma calls in lead.router.ts; tenant isolation test coverage >=90%,16,ARTIFACT:apps/api/src/modules/lead/lead.router.ts;SPEC:.specify/sprints/sprint-16/specifications/IFC-237-spec.md;PLAN:.specify/sprints/sprint-16/planning/IFC-237-plan.md,VALIDATE:pnpm --filter @intelliflow/api test --run;VALIDATE:pnpm --filter @intelliflow/api typecheck;GATE:coverage-gte-90,4/6/8,2026-03-12,2026-03-12,100,,Continuous
IFC-238,Core CRM,"Lead Detail Status Type Fix + Auth Guard. Fix 2 CRITICAL issues: (1) LeadStatus type union at leads/[id]/page.tsx line 139 omits NEGOTIATING - runtime crash when lead has this status [S1]. (2) leads/(list)/new/page.tsx missing useRequireAuth() hook - unauthenticated users can access create lead form [F1]. Also fix trpc vs api import inconsistency in create page [F8]. Fix: Add NEGOTIATING to LeadStatus type, add useRequireAuth() to create page, standardize import.",Frontend Dev (STOA-Quality),,,LeadStatus includes all Prisma LeadStatusEnum values; create page has auth guard; no runtime crash for NEGOTIATING leads; trpc import standardized to api; tests >=90%,Completed,0 missing status values in LeadStatus type; auth guard present on /leads/new,16,ARTIFACT:apps/web/src/app/leads/[id]/page.tsx;ARTIFACT:apps/web/src/app/leads/(list)/new/page.tsx;SPEC:.specify/sprints/sprint-16/specifications/IFC-238-spec.md;PLAN:.specify/sprints/sprint-16/planning/IFC-238-plan.md;EVIDENCE:.specify/sprints/sprint-16/attestations/IFC-238/attestation.json,TypeScript compilation + component tests,1/2/3,2026-03-18,2026-03-19,100,,Continuous
IFC-239,Core CRM,"Lead Router Data Integrity Fixes. Fix 5 HIGH issues: (1) update procedure ambiguous status field handling - may silently drop or bypass domain validation [S5]. (2) Score tier thresholds inconsistent - domain LeadScore uses 80/50 but router stats query uses 70/40 [S6]. (3) sortBy accepts arbitrary strings with no enum validation - Prisma orderBy injection risk [S7]. (4) leadListResponseSchema expects 'data' key but router returns 'leads' [W4]. (5) leadResponseSchema missing Lead 360 fields (aiInsight, activities, notes, files, tasks) [D5]. Fix: Explicitly handle status in update, unify thresholds, add sortBy enum, fix schema keys.",Backend Dev (STOA-Domain),,,update procedure explicitly handles status via domain model; score thresholds unified (single source of truth); sortBy validated against enum; response schemas match actual API output; tests >=90%,Completed,0 schema mismatches; sortBy restricted to enum values; single threshold source,16,apps/api/src/modules/lead/lead.router.ts; packages/validators/src/lead.ts; packages/domain/src/crm/lead/LeadScore.ts,Unit tests + schema validation tests,3/5/7,2026-04-06,2026-04-06,100,,Continuous
IFC-240,Core CRM,"Lead Audit Logging. Add audit log entries to all 20 lead router procedures using SecurityAuditService. GDPR-relevant operations (delete, bulkDelete, convert, export) MUST have audit trail. Include: actor (userId), action, entityType (Lead), entityId, tenantId, timestamp, metadata (old/new values for mutations). Integrate with existing audit infrastructure at apps/api/src/security/audit/.",Backend Dev (STOA-Security),,,All 20 lead procedures emit audit entries; delete/convert/bulk ops have before/after snapshots; audit entries queryable via audit API; GDPR compliance verified; tests >=90%,Completed,20/20 procedures with audit logging; 100% GDPR-relevant ops covered,18,apps/api/src/modules/lead/lead.router.ts; apps/api/src/security/audit/,Audit log integration tests,4/6/8,,,100,,Continuous
IFC-241,Core CRM,"Lead Router Dead Code & Missing Events Cleanup. Fix 4 MEDIUM/LOW issues: (1) scoreWithAI notification variables at lines 517-527 set but never referenced - dead code [S10]. (2) LeadRoutedEvent defined in domain but never published by any procedure or service [S11]. (3) Only 3 of ~10 lead event types trigger notifications [W10]. (4) Lead notifications processed synchronously, not queued via BullMQ [W11]. Fix: Remove dead notification code, publish LeadRoutedEvent from routing logic, add notification handlers for remaining event types, enqueue via BullMQ.",Backend Dev (STOA-Domain),,,Dead code removed; LeadRoutedEvent published when lead routing occurs; >=8 event types have notification handlers; notifications enqueued via BullMQ; tests >=90%,Backlog,0 dead code blocks; >=8/10 events with notification handlers,20,apps/api/src/modules/lead/lead.router.ts; packages/domain/src/crm/lead/LeadEvents.ts; apps/workers/notifications-worker/,Event publishing + notification tests,4/6/8,,,0,,Continuous
IFC-242,Core CRM,"Lead Create Form Fixes - BANT Drop, Revenue Mapping, Validation. Fix 3 HIGH issues: (1) BANT fields (Budget, Authority, Need, Timeline) collected in create form but silently dropped on submit - never sent to API [F3]. (2) annualRevenue mapped to estimatedValue - semantic mismatch between company annual revenue and deal estimated value [F4]. (3) Edit form uses 'as any' cast with no client-side Zod validation - no inline field errors [F9]. Fix: Send BANT to API (add to createLeadSchema if needed), map annualRevenue correctly, add Zod resolver to edit form, remove as any.",Frontend Dev (STOA-Quality),,,BANT fields persisted on create; annualRevenue and estimatedValue are distinct fields; edit form uses zodResolver with inline errors; no 'as any' casts; sourceOther sent to API; tests >=90%,Completed,BANT fields round-trip verified; 0 'as any' casts in lead forms,18,apps/web/src/app/leads/(list)/new/page.tsx; apps/web/src/app/leads/[id]/edit/page.tsx; packages/validators/src/lead.ts,Form submission tests + API contract tests,3/5/7,,,0,,Continuous
