Task ID,Section,Owner,Planned Status,Percent Complete,Category,Delivered (on-disk primary),Attestation,Attest Verdict,4/4 Validations,KPI Gap,Spec,Plan,Declared Artifacts,Artifacts@DeclaredPath,Artifact Path Drift,Shipped Title-Hit PRs,Synthetic Timestamp,Completed At,Duration (min),Evidence Note
IFC-032,Automation,DevOps + SRE (STOA-Automation),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,YES,2026-06-26T19:20:18.041Z,15,
IFC-070,Migration,DA + DevOps (STOA-Automation),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,NO,2026-02-23T22:15:19.612Z,15,
IFC-078,Platform,DevOps + Tech Lead (STOA-Automation),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,YES,2026-06-26T19:20:18.041Z,15,
PG-058,Core CRM,CRM FE+BE (STOA-Foundation),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,YES,2026-06-29T09:13:25.614Z,15,
PG-059,Core CRM,CRM FE+BE (STOA-Foundation),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,4,4,NO,,NO,2026-04-19T23:45:00Z,15,
PG-060,Core CRM,CRM FE+BE (STOA-Foundation),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,NO,2026-06-10T22:46:44Z,15,
PG-061,Core CRM,CRM FE+BE (STOA-Foundation),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,NO,2026-06-13T00:40:00Z,15,
PG-062,Core CRM,CRM FE+BE (STOA-Foundation),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,NO,2026-06-13T09:30:00Z,15,
PG-063,Core CRM,CRM FE+BE (STOA-Foundation),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,YES,2026-06-26T19:20:18.041Z,15,
PG-132,Automation,Frontend Dev + Sales Ops (STOA-Domain),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,6,6,NO,,YES,2026-06-26T19:20:18.041Z,15,
DOC-015,Documentation,PM + DevRel (STOA-Automation),Backlog,0,C04_DELIVERED_STALE_BACKLOG,YES,YES,COMPLETE,YES,NO,NO,NO,7,7,NO,,NO,,,"#612 chore(doc-015) reconcile route counts to canonical 211 (title hit, merged origin/main)"
DOC-016,Documentation,PM (STOA-Automation),Backlog,0,C09_PARTIALLY_DELIVERED,YES,YES,COMPLETE,YES,NO,NO,NO,4,4,NO,,NO,,,#598 docs-integrity-audit.ts tool + test on main; .github/workflows/docs-integrity.yml NOT committed to origin/main (DoD CI-gate limb missing)
IFC-211,Core CRM,Backend Dev (STOA-Domain),Backlog,0,C04_DELIVERED_STALE_BACKLOG,YES,NO,,NO,NO,NO,NO,3,3,NO,,NO,,,#597 feat(IFC-211): goal settings RBAC (manager/admin/self + audit) merged origin/main 2026-07-22 (commit 826eb3e68); home-rbac.test.ts present on main. Post-dates 2026-07-21 backlog-truth-audit. CSV row stale.
