ID,Title,Abuse Case Ref,Priority,Category,Status,Owner,Sprint Target,Effort Estimate,Description
MIT-001,API-level tenant validation middleware,AC-001,Critical,Multi-Tenancy,Planned,Backend Dev,12,M,"Add middleware layer that validates tenantId from session matches request context before any database operation"
MIT-002,Dual-model input/output separation for AI,AC-006,Critical,Agent Security,Planned,AI Specialist,12,L,"Implement separate LLM calls for input processing and output generation to prevent prompt injection cross-contamination"
MIT-003,Response classification before return,AC-006,Critical,Agent Security,Planned,AI Specialist,12,M,"Add classification layer that validates AI responses don't contain PII or sensitive data before returning to client"
MIT-004,Circuit breaker for agent actions,AC-009,High,Agent Security,Planned,Backend Dev,13,M,"Implement circuit breaker pattern to detect and halt recursive agent action patterns"
MIT-005,Signed tool invocation tokens,AC-007,High,Agent Security,Planned,Security Lead,13,L,"Generate cryptographically signed tokens for tool invocations to prevent unauthorized direct calls"
MIT-006,Role hierarchy enforcement,AC-003,High,Multi-Tenancy,Planned,Backend Dev,13,S,"Ensure users cannot assign roles with higher privilege level than their own"
MIT-007,Session binding to client fingerprint,AC-004,High,Multi-Tenancy,Planned,Backend Dev,13,M,"Bind sessions to IP + user-agent fingerprint to detect session replay attacks"
MIT-008,Adversarial prompt testing with garak,AC-010,Medium,Agent Security,Planned,AI Specialist,14,M,"Integrate garak security testing tool into CI/CD for adversarial prompt testing"
MIT-009,Uniform auth response times,AC-002,Medium,Multi-Tenancy,Planned,Backend Dev,14,S,"Normalize authentication response times to prevent timing-based tenant enumeration"
MIT-010,Cryptographic confidence binding,AC-008,Medium,Agent Security,Planned,Security Lead,14,M,"Cryptographically bind confidence scores to action proposals to prevent tampering"
MIT-011,Canary tokens in system prompts,AC-010,Medium,Agent Security,Planned,AI Specialist,14,S,"Add canary strings to system prompts that trigger alerts if leaked"
MIT-012,Rollback rate limiting,AC-012,Medium,Agent Security,Planned,Backend Dev,15,S,"Implement per-user rate limiting on action rollbacks to prevent abuse"
MIT-013,Cookie consent server validation,AC-013,Low,Compliance,Planned,Frontend Dev,12,S,"Implement server-side validation of cookie consent to prevent client bypass"
MIT-014,WAF SQL injection rules,AC-005,Medium,Multi-Tenancy,Planned,DevOps,14,M,"Configure WAF with SQL injection detection rules as defense-in-depth"
MIT-015,Honeypot tenant slugs,AC-002,Low,Multi-Tenancy,Planned,Security Lead,15,S,"Create monitoring honeypot tenants to detect enumeration attempts"
MIT-016,Cost alerting for LLM API,AC-009,High,Agent Security,Planned,DevOps,13,S,"Implement cost monitoring and alerting for OpenAI API to detect DoS attacks"
MIT-017,Dual-approval for role changes,AC-003,Medium,Multi-Tenancy,Planned,Backend Dev,15,M,"Require second admin approval for privilege escalation role assignments"
MIT-018,Action deduplication window,AC-009,Medium,Agent Security,Planned,Backend Dev,14,S,"Prevent duplicate similar actions within configurable time window"
MIT-019,Distributed lock for approvals,AC-011,Low,Agent Security,Planned,Backend Dev,15,M,"Implement distributed locking for approval state transitions to prevent race conditions"
MIT-020,LLM guardrails integration,AC-010,High,Agent Security,Planned,AI Specialist,13,L,"Integrate Guardrails AI or similar for runtime LLM output validation"
