Source_Table,Source_Column,Target_Table,Target_Column,Transform,Data_Type,Nullable,Validation_Rule
legacy_users,id,users,id,"CUID generate from source ID mapping table",String,false,"NOT NULL, UNIQUE"
legacy_users,email,users,email,"TRIM and lowercase",String,false,"NOT NULL, UNIQUE, matches email regex"
legacy_users,full_name,users,name,"Split on space - first word to firstName, rest to lastName",String,true,"Max 255 chars"
legacy_users,avatar_url,users,avatarUrl,"URL validation and prefix rewrite",String,true,"Valid URL or NULL"
legacy_users,user_type,users,role,"MAPPING: 0->USER, 1->ADMIN, 2->MANAGER, 3->SALES_REP",Enum,false,"One of UserRole enum values"
legacy_users,created_ts,users,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_users,updated_ts,users,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_leads,lead_id,leads,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_leads,email_address,leads,email,"TRIM and lowercase, validate format",String,false,"NOT NULL, valid email"
legacy_leads,first_name,leads,firstName,"TRIM to 255 chars",String,true,"Max 255 chars"
legacy_leads,last_name,leads,lastName,"TRIM to 255 chars",String,true,"Max 255 chars"
legacy_leads,company_name,leads,company,"TRIM to 500 chars",String,true,"Max 500 chars"
legacy_leads,job_title,leads,title,"TRIM to 255 chars",String,true,"Max 255 chars"
legacy_leads,phone_number,leads,phone,"Standardize to E.164 format, validate",String,true,"Valid E.164 or NULL"
legacy_leads,lead_source_id,leads,source,"MAPPING: 1->WEBSITE, 2->REFERRAL, 3->SOCIAL, 4->EMAIL, 5->COLD_CALL, 6->EVENT, 7->OTHER",Enum,false,"One of LeadSource enum values"
legacy_leads,status_code,leads,status,"MAPPING: 0->NEW, 1->CONTACTED, 2->QUALIFIED, 3->UNQUALIFIED, 4->CONVERTED, 5->LOST",Enum,false,"One of LeadStatus enum values"
legacy_leads,score_value,leads,score,"Parse numeric score, clamp 0-100",Integer,false,"0-100 inclusive"
legacy_leads,owner_id,leads,ownerId,"Lookup new user ID from migration map",String,false,"Valid reference to users.id"
legacy_leads,created_ts,leads,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_leads,updated_ts,leads,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_contacts,contact_id,contacts,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_contacts,email,contacts,email,"TRIM and lowercase, validate format",String,false,"NOT NULL, UNIQUE"
legacy_contacts,first_name,contacts,firstName,"TRIM to 255 chars",String,false,"NOT NULL, Max 255 chars"
legacy_contacts,last_name,contacts,lastName,"TRIM to 255 chars",String,false,"NOT NULL, Max 255 chars"
legacy_contacts,job_title,contacts,title,"TRIM to 255 chars",String,true,"Max 255 chars"
legacy_contacts,phone,contacts,phone,"Standardize to E.164 format",String,true,"Valid E.164 or NULL"
legacy_contacts,department,contacts,department,"TRIM to 255 chars, standardize dept names",String,true,"Max 255 chars"
legacy_contacts,account_id,contacts,accountId,"Lookup new account ID from migration map",String,true,"Valid reference to accounts.id or NULL"
legacy_contacts,owner_id,contacts,ownerId,"Lookup new user ID from migration map",String,false,"Valid reference to users.id"
legacy_contacts,created_ts,contacts,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_contacts,updated_ts,contacts,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_accounts,account_id,accounts,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_accounts,company_name,accounts,name,"TRIM to 500 chars",String,false,"NOT NULL, Max 500 chars"
legacy_accounts,website_url,accounts,website,"URL validation, ensure https://",String,true,"Valid URL or NULL"
legacy_accounts,industry,accounts,industry,"TRIM to 255 chars, standardize industry list",String,true,"Max 255 chars"
legacy_accounts,employee_count,accounts,employees,"Parse numeric value, validate range",Integer,true,"NULL or 0-10000000"
