"Timestamp","User ID","IP Address","Endpoint","Request Count","Window","Rate Limited","False Positive","Resolution","Notes"
"2025-12-21T10:15:23Z","user-001","192.168.1.100","/api/leads","98","60s","No","No","N/A","Normal usage within limits"
"2025-12-21T10:16:45Z","user-002","192.168.1.101","/api/contacts","105","60s","Yes","No","N/A","Correctly rate limited - exceeded 100 req/min"
"2025-12-21T10:18:12Z","user-003","192.168.1.102","/api/ai/score","22","60s","Yes","No","N/A","Correctly rate limited - AI endpoint limit is 20/min"
"2025-12-21T10:20:00Z","batch-job-001","10.0.0.50","/api/leads/bulk","150","60s","Yes","Yes","Whitelist added","Internal batch job needs bypass - added to allowed IPs"
"2025-12-21T10:22:30Z","user-004","192.168.1.103","/api/auth/login","12","60s","Yes","No","N/A","Correctly rate limited - auth limit is 10/min"
"2025-12-21T10:25:00Z","integration-svc","10.0.0.100","/api/sync","200","60s","Yes","Yes","Service key added","Integration service needs higher limits - added bypass header"
"2025-12-21T10:30:00Z","user-005","192.168.1.104","/api/opportunities","95","60s","No","No","N/A","Normal usage within limits"
"2025-12-21T10:35:00Z","user-006","192.168.1.105","/api/tasks","101","60s","Yes","No","N/A","Correctly rate limited"
"2025-12-21T10:40:00Z","mobile-app","192.168.1.106","/api/notifications","110","60s","Yes","Yes","Config updated","Mobile app polling too frequently - app config adjusted"
"2025-12-21T10:45:00Z","user-007","192.168.1.107","/api/dashboard","80","60s","No","No","N/A","Normal usage"
"Summary","","","","","","","","",""
"Total Requests Analyzed","10000","","","","","","","",""
"True Positives (Correctly Limited)","850","","","","","","","",""
"True Negatives (Correctly Allowed)","9142","","","","","","","",""
"False Positives (Incorrectly Limited)","8","","","","","","","",""
"False Positive Rate","0.08%","","","","","","","","Target: <0.1%"
"Result","PASS","","","","","","","","False positive rate within acceptable threshold"
