Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
PG-157,Core CRM,Visible Pin to Home buttons on entity list items and detail page headers - not just hidden in 3-dot MoreActionsButton sheet,CRM FE (STOA-Foundation),PG-129,FILE:apps/web/src/components/shared/entity-action-sheet.tsx;FILE:apps/web/src/hooks/use-entity-pin.ts,Pin/Unpin icon button visible on entity detail headers; uses useEntityPin hook; aria-label for a11y; tests cover pin toggle,Completed,"Pin button visible without opening 3-dot menu, WCAG AA compliant",15,ARTIFACT:apps/web/src/components/home/PinButton.tsx,VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,30/60/120,2026-02-28,2026-02-28,100,PG-129:FS,
PG-158,Core CRM,Drag and drop pinned items reorder - backend API exists (home.reorderPinnedItems) needs @dnd-kit frontend integration,CRM FE (STOA-Foundation),PG-129,FILE:apps/web/src/components/home/PinnedItemsSheet.tsx;FILE:apps/api/src/modules/home/home.router.ts,@dnd-kit installed; PinnedSection supports drag-and-drop reorder; calls home.reorderPinnedItems on drop; touch support; tests cover reorder,Completed,"Drag-drop reorder works on desktop and mobile, order persists via API",15,ARTIFACT:apps/web/src/components/home/PinnedItemsSheet.tsx;ARTIFACT:apps/web/src/components/home/DraggablePinnedItem.tsx,VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/180,2026-02-28,2026-02-28,100,PG-129:FS,
PG-159,Core CRM,Stale pin handling - deleted or inaccessible pinned entities should show Item unavailable with unpin option,CRM FE+BE (STOA-Foundation),PG-129,FILE:apps/api/src/modules/home/home.router.ts;FILE:apps/web/src/components/home/AuthenticatedHomePage.tsx,getPinnedItems checks entity existence; missing entities return stub with unavailable flag; UI shows badge with unpin button; ADR-027 requirement verified,Completed,"Stale pins show fallback within 200ms, unpin works on stale items",15,ARTIFACT:apps/api/src/modules/home/home.router.ts;ARTIFACT:apps/web/src/components/home/AuthenticatedHomePage.tsx,VALIDATE:pnpm --filter @intelliflow/web test --run;VALIDATE:pnpm --filter @intelliflow/api test --run,30/60/120,2026-02-28,2026-03-01,100,PG-129:FS,
PG-160,Core CRM,View All AI Insights page - /insights route with getAllInsights endpoint pagination and filtering by insight type,CRM FE+BE (STOA-Foundation),PG-129,FILE:apps/api/src/modules/home/home.router.ts,/insights page with paginated list; getAllInsights endpoint with type filter; View All link navigates correctly; loading/empty states,Completed,"Page loads <500ms, supports 4 insight type filters, cursor pagination",15,ARTIFACT:apps/web/src/app/insights/page.tsx;ARTIFACT:apps/web/src/components/insights/InsightsListPage.tsx,VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/180,2026-02-28,2026-03-01,100,PG-129:FS,
PG-161,Core CRM,Notifications integration on home page - bell icon header badge count IFC-183 Prisma model and notification router,CRM FE+BE (STOA-Foundation),"PG-129,IFC-183",FILE:apps/web/src/components/home/AuthenticatedHomePage.tsx,Bell icon in home header; unread count badge; dropdown with recent notifications; mark-as-read; Notification model + router; tests cover bell and badge,Completed,"Badge updates in real-time, mark-read latency <200ms",16,ARTIFACT:apps/web/src/components/notifications/NotificationBell.tsx;ARTIFACT:apps/api/src/modules/notifications/notifications.router.ts;ARTIFACT:apps/web/src/components/home/NotificationsSummaryWidget.tsx,VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,120/240/360,2026-03-10,2026-03-11,100,"PG-129:FS,IFC-183:FS",SPEC:.specify/sprints/sprint-16/specifications/PG-161-spec.md;PLAN:.specify/sprints/sprint-16/planning/PG-161-plan.md;EVIDENCE:.specify/sprints/sprint-16/attestations/PG-161/attestation.json
PG-162,Core CRM,AI Insights from ML model - LangChain chain for generating daily insights with caching confidence scores and action recommendations Cross-entity scope: null-state UX - when AI insight is null on entity detail pages show Run AI Analysis button. Lead detail already done (2026-03-04) apply same pattern to Contact detail. Ensure fallback values visually distinct from real AI data.,AI Specialist (STOA-Intelligence),"PG-129,IFC-095",FILE:apps/ai-worker/src/chains/insight-generation.chain.ts;FILE:apps/api/src/modules/home/home.router.ts,LangChain chain generates daily insights per user; cached 1h TTL; confidence scores; 4 insight types; home.getAIInsights reads from cache; tests with mocked LLM; Null-state indicator on Contact detail; fallback data visually distinguished from real AI output,Completed,"Insight generation <3s, cache hit rate >80%, 4 insight types",16,ARTIFACT:apps/api/src/modules/home/home.router.ts;ARTIFACT:apps/web/src/components/insights/InsightCard.tsx;ARTIFACT:apps/web/src/app/contacts/[id]/page.tsx;ARTIFACT:packages/validators/src/home.ts;ARTIFACT:apps/web/src/app/contacts/[id]/__tests__/page.test.tsx,VALIDATE:pnpm --filter @intelliflow/validators exec vitest run src/__tests__/home.test.ts;VALIDATE:pnpm --filter @intelliflow/api exec vitest run src/modules/home/__tests__/home.router.test.ts;VALIDATE:pnpm --filter @intelliflow/web exec vitest run src/components/home/__tests__/AuthenticatedHomePage.test.tsx src/app/insights/__tests__/page.test.tsx src/app/contacts/[id]/__tests__/page.test.tsx,120/240/480,2026-03-10,2026-03-10,100,"PG-129:FS,IFC-095:FS",
PG-163,Core CRM,Home page integration tests - test home.router endpoints against real database with seed data,QA (STOA-Quality),PG-129,FILE:apps/api/src/modules/home/home.router.ts;FILE:apps/api/src/modules/home/__tests__/home.router.coverage.test.ts,"Integration tests for all 9 home router endpoints; mock-based with full middleware chain; covers auth, pagination, error cases; >90% coverage on home.router.ts",Completed,"Coverage >90% on home router, all 9 endpoints tested, <30s suite",15,ARTIFACT:apps/api/src/modules/home/__tests__/home.router.coverage.test.ts;SPEC:.specify/sprints/sprint-15/specifications/PG-163-spec.md;PLAN:.specify/sprints/sprint-15/planning/PG-163-plan.md,VALIDATE:pnpm --filter @intelliflow/api test --run,60/120/240,2026-03-01,2026-03-01,100,PG-129:FS,
PG-164,Core CRM,Home page E2E tests - 5 Playwright scenarios: public page auth redirect insight click quick action pin/unpin flow,QA (STOA-Quality),"PG-129,PG-155",FILE:tests/e2e/home/home-page.spec.ts;FILE:apps/web/src/components/home/AuthenticatedHomePage.tsx,"5 Playwright E2E scenarios passing; covers auth, navigation, interactions; CI integrated; screenshots on failure; <60s total",Completed,"5 E2E scenarios passing, <60s runtime, CI integrated",15,ARTIFACT:tests/e2e/home/home-page.spec.ts;SPEC:.specify/sprints/sprint-15/specifications/PG-164-spec.md;PLAN:.specify/sprints/sprint-15/planning/PG-164-plan.md;ARTIFACT:tests/e2e/global-teardown.ts,VALIDATE:pnpm test:e2e -- --grep home,60/120/240,2026-03-07,2026-03-08,100,"PG-129:FS,PG-155:FS",
PG-165,Core CRM,Update PRD checkboxes for home page - mark completed acceptance criteria and annotate deferred items with task references,Tech Lead (STOA-Foundation),PG-129,FILE:docs/planning/prd-home-page.md,All 51 PRD checkboxes reviewed; 38 completed items marked [x]; 13 deferred items annotated with task references (PG-156 to PG-164); PRD reflects implementation state,Completed,All checkboxes accurately reflect implementation state,14,ARTIFACT:docs/planning/prd-home-page.md,VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,15/30/60,2026-02-22,2026-02-23,100,PG-129:FS,
PG-166,Core CRM,Lighthouse audit on authenticated home page - verify NFR targets TTI <1s Performance >=90 Accessibility >=90,QA (STOA-Quality),PG-129,FILE:apps/web/src/components/home/AuthenticatedHomePage.tsx,"Lighthouse CI audit on / route; Performance >=90, Accessibility >=90, TTI <1s; results saved to artifacts; ADR-027 verification confirmed",Completed,"Lighthouse Performance >=90, Accessibility >=90, TTI <1s",19,ARTIFACT:artifacts/benchmarks/home-page-lighthouse.json,VALIDATE:npx lighthouse http://localhost:3000 --output json,30/60/120,2026-09-06,2026-09-08,100,PG-129:FS,
PG-167,Core CRM,Analytics tracking plan for home page - define and implement business metrics events for section interactions,CRM FE (STOA-Foundation),PG-129,FILE:apps/web/src/components/home/AuthenticatedHomePage.tsx,"Analytics events for quick action clicks, insight interactions, feed scrolls, pin/unpin, goal views; tracking utility integrated; event schema documented",Completed,"All 6 home sections emit analytics events, schema documented",16,ARTIFACT:docs/analytics/home-page-tracking-plan.md;ARTIFACT:apps/web/src/lib/analytics.ts;SPEC:.specify/sprints/sprint-16/specifications/PG-167-spec.md;PLAN:.specify/sprints/sprint-16/planning/PG-167-plan.md;ATTESTATION:.specify/sprints/sprint-16/attestations/PG-167/attestation.json,VALIDATE:pnpm --filter @intelliflow/web typecheck,30/60/120,2026-03-10,2026-03-11,100,PG-129:FS,
PG-168,Core CRM,Monitoring and Sentry error tracking for home route - error boundaries breadcrumbs performance spans,CRM FE (STOA-Quality),PG-129,FILE:apps/web/src/components/home/AuthenticatedHomePage.tsx,Sentry error boundary wrapping home sections; breadcrumbs for section loads; performance spans for each tRPC query; error alerts configured,Backlog,"All 6 sections have error boundaries, performance spans for 8 queries",20,ARTIFACT:apps/web/src/components/home/HomeErrorBoundary.tsx,VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,30/60/120,,,0,PG-129:FS,
PG-169,Developer Pages,Developer Guides Page,DevRel (STOA-Foundation),PG-032,FILE:apps/web/src/app/(developer)/docs/page.tsx;FILE:docs/docusaurus.config.js;ENV:guides content available,"Response <200ms, Lighthouse >=90, guides listed and categorized; artifacts: page.tsx, guides-list.tsx",Completed,"Guides listed, categorized by topic, links to Docusaurus guides",15,ARTIFACT:apps/web/src/app/(developer)/docs/guides/page.tsx;ARTIFACT:apps/web/src/components/developer/guides-list.tsx;EVIDENCE:.specify/sprints/sprint-15/attestations/PG-169/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,50/120/240,2026-03-01,2026-03-01,100,PG-032:FS,
