"dependency","source","action","risk","reason"
"@eslint/eslintrc","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"@langchain/community","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@opentelemetry/exporter-metrics-otlp-http","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@opentelemetry/exporter-trace-otlp-http","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@opentelemetry/instrumentation","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@opentelemetry/sdk-trace-node","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@paralleldrive/cuid2","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@prisma/client","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@sentry/tracing","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@typescript-eslint/eslint-plugin","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"@typescript-eslint/parser","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"@upstash/ratelimit","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@upstash/redis","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"@vitest/coverage-v8","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"axe-core","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"baseline-browser-mapping","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"baseline-browser-mapping","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"bullmq","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"cspell","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"cspell","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"dependency-cruiser","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"dotenv-cli","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"ioredis","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"langchain","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"license-checker","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"license-checker","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"madge","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"madge","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"markdownlint-cli","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"markdownlint-cli","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"openai","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
"react","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"testcontainers","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"testcontainers","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"ts-node","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"ts-prune","depcheck","review-remove-or-script-wire","medium","Reported unused dev dependency"
"ts-prune","knip-dev","review-remove-or-script-wire","medium","Knip flags as unused dev dependency"
"use-debounce","knip","review-runtime-usage-before-remove","high","Knip flags as unused dependency (runtime package)"
