Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
PG-210,Core CRM,"IFC-311 reassign UI wiring follow-up (contacts + accounts) — wire the four new tRPC procedures shipped by IFC-311 (api.contact.reassign, api.contact.bulkReassign, api.account.reassign, api.account.bulkReassign) into real UI so the notifyOnOwnerChange Cat-1 toggle is reachable for end users on both entities. Source: IFC-311 post-completion code review Finding 1 — all four procedures are dead-on-arrival at runtime (zero direct UI callers). The account SINGLE-reassign path is transitively reachable via AccountDetail.tsx:152 → api.account.assignOwner (refactored in IFC-311 to delegate to performAccountReassign, so the notification fires), but api.account.bulkReassign is fully orphaned and the account detail page still calls the legacy name. Scope: (a) contacts-list bulk-actions bar exposes a Reassign action that calls contact.bulkReassign; (b) contact detail page actions expose a Reassign option that calls contact.reassign; (c) accounts-list bulk-actions bar exposes a Reassign action that calls account.bulkReassign (brand-new UI surface — no legacy shim covers this); (d) migrate AccountDetail.tsx:152 from api.account.assignOwner.useMutation to api.account.reassign.useMutation so the canonical IFC-311 name is the production caller (assignOwner stays as a deprecated legacy alias); (e) one integration test per entity that exercises the toggle flipping the notification path end-to-end. Backend API surface is already shipped by IFC-311 — this task is UI + wiring + one cosmetic endpoint migration only.",Frontend Dev (STOA-Foundation),IFC-311,FILE:apps/api/src/modules/contact/contact.router.ts;FILE:apps/api/src/modules/contact/contact-reassign.ts;FILE:apps/api/src/modules/account/account.router.ts;FILE:apps/api/src/modules/account/account-reassign.ts;FILE:apps/web/src/app/contacts/[id]/page.tsx;FILE:apps/web/src/components/contacts/bulk-actions-bar.tsx;FILE:apps/web/src/components/accounts/AccountDetail.tsx;FILE:docs/planning/prd-core-crm.md,api.contact.reassign + api.contact.bulkReassign + api.account.reassign + api.account.bulkReassign each have >=1 production UI caller in apps/web/src; contacts-list bulk-actions Reassign calls contact.bulkReassign with selected ids + target owner; contact detail Reassign calls contact.reassign; accounts-list bulk-actions Reassign calls account.bulkReassign; AccountDetail.tsx migrated from account.assignOwner to account.reassign (canonical); two integration tests (one per entity) verify both parties receive the matching *_reassigned notification when notifyOnOwnerChange=true; Lighthouse >=90 on contacts-list and accounts-list,Backlog,All 4 new procedures reachable from >=1 UI surface; 2 integration tests pass; Cat-1 wiring proof: rg api.(contact|account).(reassign|bulkReassign) apps/web/src returns >=4 distinct hits; Coverage >=90%,19,ARTIFACT:apps/web/src/components/contacts/bulk-actions-bar.tsx;ARTIFACT:apps/web/src/components/contacts/reassign-sheet.tsx;ARTIFACT:apps/web/src/components/accounts/bulk-actions-bar.tsx;ARTIFACT:apps/web/src/components/accounts/reassign-sheet.tsx;ARTIFACT:apps/web/src/app/contacts/(list)/__tests__/bulk-reassign.integration.test.ts;ARTIFACT:apps/web/src/app/accounts/(list)/__tests__/bulk-reassign.integration.test.ts,VALIDATE:pnpm typecheck;VALIDATE:pnpm test --run;VALIDATE:pnpm lint;VALIDATE:pnpm build;GATE:lighthouse-gte-90,180/360/540,,,0,IFC-311:FS,
IFC-313,AI/Intelligence,Real inbox integration - contact.draftReply real-thread resolver. IFC-312 audit fix F5 follow-up: the draftReply procedure currently requires the client to supply a full emailThread array (server returns PRECONDITION_FAILED otherwise). IFC-313 replaces this with a server-side resolver that takes input.emailThreadId and fetches the actual ContactEmailThread history (pending real inbox ingestion infra - to be scoped separately). Keep the client-supplied emailThread path as a fallback for power users / integrations.,AI Eng (STOA-Intelligence),IFC-312,FILE:packages/db/prisma/schema.prisma;FILE:apps/api/src/modules/contact/contact.router.ts;FILE:apps/ai-worker/src/contact-reply-draft.chain.ts;FILE:apps/ai-worker/src/jobs/reply-draft.job.ts,contact.draftReply resolves emailThreadId to real thread messages when supplied; client-supplied emailThread remains as fallback; zero placeholder drafts persisted in production; regression on IFC-312 assertions; scoped coverage >=90%,Backlog,Draft generation uses real thread context when emailThreadId resolvable; Coverage >=90%,19,ARTIFACT:apps/api/src/modules/contact/contact.router.ts;ARTIFACT:apps/ai-worker/src/contact-reply-draft.chain.ts,VALIDATE:pnpm typecheck;VALIDATE:pnpm test --run;VALIDATE:pnpm lint;VALIDATE:pnpm build;GATE:coverage-gte-90,180/360/540,,,0,IFC-312:FS,
INFRA-TF-001,Infrastructure,"Fix Terraform provider-schema drift (Railway + Vercel modules) so `terraform validate` is green. Migrate railway_deployment->railway_service source_image, default_environment object, and Vercel env->vercel_project_environment_variable / vercel_webhook / edge-config to the current provider schemas.",DevOps (STOA-Foundation),,FILE:infra/terraform/main.tf;POLICY:ADR-064,terraform validate exits 0 in terraform.yml; railway + vercel modules match the pinned provider schemas; fmt clean.,Completed,terraform_validate=pass; fmt_check=pass,18,ARTIFACT:infra/terraform/modules/railway/main.tf;ARTIFACT:infra/terraform/modules/vercel/main.tf,VALIDATE:terraform validate;GATE:terraform plan,120/240/480,2026-06-08,2026-06-22,0,,One-time
INFRA-TF-002,Infrastructure,"Provision the three apps/workers (events-worker, ingestion-worker, notifications-worker) as first-class Railway services in Terraform. Closes GH #230/#259/#270 (workers built/tested but never deployed).",DevOps (STOA-Foundation),INFRA-TF-001,FILE:infra/terraform/main.tf;POLICY:ADR-064,Workers present in variables.tf railway_services + covered by the module for_each; a reproducible Railway deploy path exists for each.,Completed,workers_provisioned=3; undeployed_workers=0,18,ARTIFACT:infra/terraform/variables.tf;ARTIFACT:infra/terraform/modules/railway/main.tf,VALIDATE:terraform validate;GATE:terraform plan,120/240/360,2026-06-08,2026-06-22,0,INFRA-TF-001:FS,One-time
INFRA-TF-003,Infrastructure,Replace the Supabase null_resource + curl scaffolding with the official supabase/supabase Terraform provider so Supabase auth/storage/extensions config is genuinely drift-detected.,DevOps (STOA-Foundation),INFRA-TF-001,FILE:infra/terraform/main.tf;POLICY:ADR-064,Supabase module uses the official provider; null_resource/curl removed; terraform plan shows real Supabase resources with drift detection.,Completed,supabase_null_resources=0; drift_detection=active,18,ARTIFACT:infra/terraform/modules/supabase/main.tf,VALIDATE:terraform validate;GATE:terraform plan,180/360/600,2026-06-08,2026-06-22,0,INFRA-TF-001:FS,One-time
INFRA-TF-004,Infrastructure,Environment tfvars (dev/staging/prod) + remote state backend + a monitoring Terraform module (Grafana/Prometheus/Loki/Tempo as observability-as-code) + wire ai-worker OpenTelemetry (IFC-032).,DevOps (STOA-Foundation),INFRA-TF-001,FILE:infra/terraform/main.tf;POLICY:ADR-064,tfvars exist for all 3 envs; remote backend bootstrapped; monitoring module provisions the stack; OTel endpoint is a TF output; ai-worker emits traces.,Completed,env_tfvars=3; remote_state=active; ai_worker_otel=emitting,18,ARTIFACT:infra/terraform/environments;ARTIFACT:infra/terraform/modules/monitoring/main.tf,VALIDATE:terraform validate;GATE:terraform plan,300/600/900,2026-06-08,2026-06-22,0,INFRA-TF-001:FS,One-time
INFRA-TF-005,Infrastructure,CI + import + runbooks: add the three workers to build-images.yml and railway-deploy.yml; terraform import existing live Vercel/Railway/Supabase infra into state; update railway-deploy / workers / observability runbooks.,DevOps (STOA-Foundation),"INFRA-TF-002,INFRA-TF-004",FILE:infra/terraform/main.tf;POLICY:ADR-064,build-images + railway-deploy cover the 3 workers; live infra imported into TF state (plan shows no spurious recreate); runbooks updated.,Completed,workers_in_ci=3; imported_resources_clean=true,18,ARTIFACT:.github/workflows/build-images.yml;ARTIFACT:.github/workflows/railway-deploy.yml;ARTIFACT:docs/operations/runbooks/railway-deploy.md,VALIDATE:terraform validate;GATE:terraform plan,240/480/720,2026-06-08,2026-06-22,0,"INFRA-TF-002:FS,INFRA-TF-004:FS",One-time
IFC-314,Integration,"CRM-to-portal delivery & billing sync (Leangency 14-day flow). On deal-won, provision the portal tenant + push initial delivery state, then mirror billing as it changes. Adds SetupInstalment model + DeliveryTier enum + tenantSlug on Opportunity; Stripe invoice create/finalize for the 3x GBP167 Setup fee (D0/7/14); StripeSubscription persistence on customer.subscription.* webhooks; a PortalDeliverySync service that POSTs /api/internal/tenants then /api/internal/delivery via the domain_events outbox; extends CloseDealWonUseCase; registers a deal_won_enriched handler in events-worker; adds a daily portal-delivery-sweep BullMQ job in ai-worker; and verifies the Stripe webhook signature (handleSubscriptionWebhook moved off tRPC).",Backend Eng (STOA-Domain),,FILE:packages/db/prisma/schema.prisma;FILE:apps/api/src/modules/billing/billing.router.ts;FILE:apps/workers/events-worker/src/main.ts;FILE:apps/ai-worker/src/ai-worker.ts;FILE:docs/architecture/adr/ADR-065-crm-portal-delivery-sync.md;ENV:LEANGENCY_PORTAL_INTERNAL_URL + PORTAL_INTERNAL_SECRET (Railway);POLICY:portal owns delivery phase/clock - CRM mirrors billing only,"SetupInstalment + DeliveryTier + tenantSlug on Opportunity (migration applied); Stripe adapter createInvoiceItem/createInvoice/finalizeInvoice; StripeSubscription persisted on customer.subscription.*; PortalDeliverySync POSTs provision + delivery via the domain_events outbox; CloseDealWonUseCase creates 3 instalments + finalises instalment-1 + enqueues the push; events-worker handles opportunity.deal_won_enriched; ai-worker runs a daily portal-delivery-sweep job; handleSubscriptionWebhook verifies the Stripe signature; artifacts: packages/db, packages/adapters, packages/application, apps/api, apps/workers/events-worker, apps/ai-worker; targets: >=90% scoped coverage, idempotent push; verified by: pnpm typecheck/test/lint/build + pre-ship",Completed,Idempotent at-least-once portal push (outbox); instalments D0/7/14; Stripe webhook signature-verified; Coverage >=90%,18,ARTIFACT:packages/db/prisma/schema.prisma;ARTIFACT:packages/adapters/src/payments/stripe/handlers/invoices.ts;ARTIFACT:packages/adapters/src/payments/stripe/handlers/__tests__/invoices.test.ts;ARTIFACT:packages/application/src/usecases/deals/CloseDealWonUseCase.ts;ARTIFACT:apps/api/src/modules/billing/billing.router.ts;ARTIFACT:apps/workers/events-worker/src/main.ts;ARTIFACT:apps/ai-worker/src/jobs/portal-sweep.job.ts;ARTIFACT:apps/ai-worker/src/ai-worker.ts;ARTIFACT:docs/architecture/adr/ADR-065-crm-portal-delivery-sync.md;SPEC:.specify/sprints/sprint-18/specifications/IFC-314-spec.md;PLAN:.specify/sprints/sprint-18/planning/IFC-314-plan.md;EVIDENCE:.specify/sprints/sprint-18/attestations/IFC-314/attestation.json,VALIDATE:pnpm typecheck;VALIDATE:pnpm test --run;VALIDATE:pnpm lint;VALIDATE:pnpm build;GATE:coverage-gte-90,480/960/1440,2026-06-07,2026-06-09,0,,
AUTOMATION-003,AI Foundation,Standardize attestation provenance fields (exec-attestation emits; schema declares; exec-preflight gate enforces; orchestrator DoD requires),AI Specialist (STOA-Intelligence),,FILE:.claude/skills/exec-attestation/SKILL.md;FILE:.claude/skills/exec-attestation/references/attestation-format.md;FILE:tools/scripts/lib/schemas/attestation.schema.ts;FILE:tools/scripts/exec-preflight/check-plan-reviewer-subagent.mjs;FILE:.claude/agents/orchestrator.md,"exec-attestation always writes a provenance block (spec_session_consensus, plan_reviewer_verdict, plan_reviewer_agent, plan_reviewer_marker, spec_path, plan_path); attestation Zod+JSON schema declares those 6 fields as OPTIONAL with zero new corpus failures; new tools/scripts/exec-preflight/check-attestation-provenance.mjs BLOCKs on missing or non-affirmative provenance and is wired into the exec preflight gate list; orchestrator.md DoD requires the fields; vitest covers the gate; ADR-068 documents the decision; verified by the gate vitest test passing and validate-schemas failure count unchanged from baseline",Completed,Gate blocks a provenance-less attestation (proven by vitest); skill template includes the provenance block; 0 historical attestations newly broken (validate-schemas failure count == baseline),18,ARTIFACT:tools/scripts/exec-preflight/check-attestation-provenance.mjs;ARTIFACT:tools/scripts/__tests__/check-attestation-provenance.test.ts;ARTIFACT:docs/architecture/adr/ADR-068-attestation-provenance-standardization.md;EVIDENCE:.specify/sprints/sprint-18/attestations/AUTOMATION-003/attestation.json,VALIDATE:npx vitest run tools/scripts/__tests__/check-attestation-provenance.test.ts;AUDIT:node tools/scripts/exec-preflight/check-attestation-provenance.mjs AUTOMATION-003 18;GATE:check-attestation-provenance,60/120/240,2026-06-30,2026-06-30,0,,
ENG-OPS-002,Engineering Operations,Auditoria integral do estado técnico e arquitetural dos Sprints 1-18 (reconciliação + tooling + DDD/hexagonal/security/perf/quality/docs findings + Sonar baseline + remediation plan),Tech Lead + QA + Security (STOA-Foundation),"ENG-OPS-001,GOV-001,IFC-131,EXP-REPORTS-002",FILE:artifacts/reports/sprint-19/baseline/remediation-candidates.json;FILE:artifacts/reports/sprint-19/baseline/remediation-execution-plan.md,"Verifiable S1-18 baseline: 408 tasks reconciled, 19 tools executed (failures recorded), 101 findings classified, real Sonar baseline, remediation plan, debt ledger reconciled; verified by: pnpm test",In Progress,Finding remediated with reproducible before/after evidence; no new suppressions,19,ARTIFACT:docs/audit/sprints-1-18-current-state-audit.md;artifacts/reports/sprint-19/baseline/;EVIDENCE:.specify/sprints/sprint-19/attestations/ENG-OPS-002/attestation.json,VALIDATE:pnpm test,480/960/1440,2026-07-22,2026-08-15,90,"ENG-OPS-001:FS,GOV-001:FS,IFC-131:FS,EXP-REPORTS-002:FS",
