Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
IFC-172,Integration,Complete Microsoft Calendar integration - Follow-up to IFC-138,Backend Dev + Calendar Specialist (STOA-Domain),IFC-138,FILE:packages/adapters/src/calendar/microsoft/client.ts;FILE:packages/adapters/src/calendar/shared/index.ts;ENV:Microsoft Azure app registered;ENV:OAuth credentials obtained,Implement Microsoft Graph API calls for calendar CRUD; OAuth2 with refresh tokens; bidirectional sync; webhook subscriptions; conflict resolution; verified by: pnpm test,Completed,Sync reliability >99%; OAuth flow working; webhooks registered,13,ARTIFACT:packages/adapters/src/calendar/microsoft/client.ts;ARTIFACT:packages/adapters/src/calendar/microsoft/__tests__/client.test.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/IFC-172/context_ack.json;ARTIFACT:docs/architecture/adr/ADR-024-scheduling-calendar.md;ARTIFACT:docs/planning/prd-scheduling-calendar.md,VALIDATE:pnpm test;VALIDATE:pnpm test:integration,120/240/480,2026-06-14,2026-06-25,100,IFC-138:FS,
IFC-173,Integration,Complete inbound email parsing endpoint - Follow-up to IFC-144,Backend Dev + Integration Eng (STOA-Domain),IFC-144,FILE:packages/adapters/src/messaging/email/inbound.ts;ENV:Email provider webhook configured,Implement inbound email webhook endpoint; parse email headers and body; extract attachments; create case/conversation records; verified by: pnpm test,Completed,Parse accuracy >99%; attachments extracted; records created correctly,13,ARTIFACT:packages/adapters/src/messaging/email/inbound.ts;ARTIFACT:apps/api/src/modules/email/inbound.router.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/IFC-173/context_ack.json;ARTIFACT:docs/architecture/adr/ADR-023-communications-inbox.md;ARTIFACT:docs/planning/prd-communications-inbox.md,VALIDATE:pnpm test,90/180/360,2026-06-16,2026-06-25,100,IFC-144:FS,
IFC-174,AI/ML,Run REAL Ollama benchmarks - Follow-up to IFC-085,AI Specialist (STOA-Intelligence),"IFC-085,IFC-168",FILE:apps/ai-worker/src/chains/scoring.chain.ts;FILE:artifacts/benchmarks/accuracy-benchmarks.json;ENV:Ollama running locally;ENV:AI worker consuming queue,Replace simulated accuracy-benchmarks.json with real measured data; run actual scoring tests with Ollama; document real cost savings; verified by benchmark script,Completed,Real accuracy data captured; benchmark script passes; cost reduction verified,14,ARTIFACT:artifacts/benchmarks/accuracy-benchmarks.json;ARTIFACT:scripts/run-ollama-benchmark.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-174/context_ack.json,VALIDATE:pnpm test,120/240/480,2026-07-03,2026-02-23,100,"IFC-085:FS,IFC-168:FS",
PG-128,AI Settings,FLOW-045: AI Chain Versioning Admin UI - Wire IFC-086 Backend,Frontend Dev + AI Specialist (STOA-Intelligence),IFC-086,IMPLEMENTS:FLOW-045;FILE:docs/planning/prd-ai-chain-versioning.md;FILE:docs/architecture/adr/ADR-028-ai-chain-versioning.md;FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/api/src/modules/chain-version/chain-version.router.ts;FILE:packages/application/src/services/ChainVersionService.ts;FILE:packages/domain/src/ai/ChainVersionConstants.ts;FILE:packages/adapters/src/memory/zep/zep-client.ts;FILE:docs/design/sitemap.md;FILE:docs/design/ui-flow-mapping.md;FILE:docs/design/page-registry.md;DESIGN:docs/design/mockups/ai-settings.png,"AI Settings page with chain version management; version list/create/activate/rollback; Zep budget gauge; A/B test config; version comparison; audit log; Response <500ms, Lighthouse >=90; targets: 100% tRPC endpoints wired",Completed,Page loads <500ms; all tRPC endpoints connected; admin actions working; Zep budget visible; audit log functional; Lighthouse >=90,14,ARTIFACT:apps/web/src/app/agent-approvals/ai-settings/page.tsx;ARTIFACT:apps/web/src/components/ai-agents/ai-settings/components/ChainVersionsDashboard.tsx;ARTIFACT:apps/web/src/components/ai-agents/ai-settings/components/ChainVersionsTable.tsx;ARTIFACT:apps/web/src/components/ai-agents/ai-settings/components/ChainVersionEditor.tsx;ARTIFACT:apps/web/src/components/ai-agents/ai-settings/components/VersionComparisonView.tsx;ARTIFACT:apps/web/src/components/ai-agents/ai-settings/components/ZepBudgetGauge.tsx;ARTIFACT:apps/web/src/components/ai-agents/ai-settings/components/VersionAuditLog.tsx;ARTIFACT:apps/web/src/components/ai-agents/ai-settings/hooks/useChainVersions.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/PG-128/context_ack.json,GATE:lighthouse-gte-90;VALIDATE:pnpm test,120/240/480,2026-06-28,2026-07-10,100,IFC-086:FS,
IFC-176,AI Foundation,AI Output Review - Validators Layer (Zod schemas for review inputs/outputs),Backend Dev (STOA-Quality),IFC-128,FILE:packages/domain/src/ai/review/index.ts;FILE:packages/validators/src/ai-review.ts,"Zod schemas derived from domain constants; CreateReviewInput, ReviewDecisionInput, ReviewListFilter schemas; exports match domain types; verified by: pnpm test",Completed,100% schema coverage; all domain types have validators; tests passing,3,ARTIFACT:packages/validators/src/ai-review.ts;ARTIFACT:packages/validators/src/__tests__/ai-review.test.ts;EVIDENCE:.specify/sprints/sprint-3/attestations/IFC-176/attestation.json,VALIDATE:pnpm test;GATE:no-placeholder-code,60/120/240,2026-02-02,2026-02-03,100,IFC-128:FS,
IFC-177,AI Foundation,AI Output Review - Application Layer (use cases and ports),Backend Dev (STOA-Quality),"IFC-176,IFC-128",FILE:packages/domain/src/ai/review/index.ts;FILE:packages/validators/src/ai-review.ts;FILE:docs/architecture/hex-boundaries.md,"CreateReviewUseCase, ClaimReviewUseCase, ApproveReviewUseCase, RejectReviewUseCase, ReleaseReviewUseCase, EscalateReviewUseCase; IAIOutputReviewRepository port; verified by: pnpm test",Completed,100% use case coverage; 54+ tests; >90% coverage; ports defined; no domain dependencies on infra; RBAC ai_review resource; HMAC lock tokens,4,ARTIFACT:packages/domain/src/ai/review/AIOutputReviewRepository.ts;ARTIFACT:packages/application/src/ports/repositories/AIOutputReviewRepositoryPort.ts;ARTIFACT:packages/application/src/usecases/ai-review/CreateReviewUseCase.ts;ARTIFACT:packages/application/src/usecases/ai-review/ClaimReviewUseCase.ts;ARTIFACT:packages/application/src/usecases/ai-review/ApproveReviewUseCase.ts;ARTIFACT:packages/application/src/usecases/ai-review/RejectReviewUseCase.ts;ARTIFACT:packages/application/src/usecases/ai-review/ReleaseReviewUseCase.ts;ARTIFACT:packages/application/src/usecases/ai-review/EscalateReviewUseCase.ts;ARTIFACT:packages/application/src/usecases/ai-review/index.ts;SPEC:.specify/sprints/sprint-4/specifications/IFC-177-spec.md;PLAN:.specify/sprints/sprint-4/planning/IFC-177-plan.md;EVIDENCE:.specify/sprints/sprint-4/attestations/IFC-177/context_ack.json,VALIDATE:pnpm test;AUDIT:code-review,120/240/480,2026-02-03,2026-02-17,100,"IFC-176:FS,IFC-128:FS",
IFC-178,AI Foundation,AI Output Review - Database Schema (Prisma models),Backend Dev (STOA-Quality),IFC-128,FILE:packages/domain/src/ai/review/index.ts;FILE:packages/db/prisma/schema.prisma;FILE:docs/architecture/adr/ADR-004-multi-tenancy.md,AIOutputReview table with tenant isolation; ReviewAuditLog table; indexes for status/tenant queries; migration script; verified by: pnpm db:migrate,Completed,Schema matches domain model; RLS policies applied; migration runs cleanly,4,ARTIFACT:packages/db/prisma/schema.prisma;ARTIFACT:infra/supabase/migrations/20260204000000_ai_output_review_rls.sql;SPEC:.specify/sprints/sprint-4/specifications/IFC-178-spec.md;PLAN:.specify/sprints/sprint-4/planning/IFC-178-plan.md;EVIDENCE:.specify/sprints/sprint-4/attestations/IFC-178/attestation.json,VALIDATE:pnpm db:migrate;AUDIT:code-review,90/180/360,2026-02-03,2026-02-14,100,IFC-128:FS,
IFC-179,AI Foundation,AI Output Review - Adapters Layer (repository implementation),Backend Dev (STOA-Quality),"IFC-177,IFC-178",FILE:packages/application/src/ports/repositories/AIOutputReviewRepositoryPort.ts;FILE:packages/db/prisma/schema.prisma;FILE:docs/architecture/hex-boundaries.md,PrismaAIOutputReviewRepository implements port; CRUD operations; query filters for status/tenant/SLA; event publishing; verified by: pnpm test,Completed,Repository implements all port methods; queries optimized; tests passing,5,ARTIFACT:packages/adapters/src/repositories/PrismaAIOutputReviewRepository.ts;ARTIFACT:packages/adapters/src/repositories/__tests__/PrismaAIOutputReviewRepository.test.ts;SPEC:.specify/sprints/sprint-5/specifications/IFC-179-spec.md;PLAN:.specify/sprints/sprint-5/planning/IFC-179-plan.md;EVIDENCE:.specify/sprints/sprint-5/attestations/IFC-179/attestation.json,VALIDATE:pnpm test;VALIDATE:pnpm test:integration,120/240/480,2026-02-04,2026-02-05,100,"IFC-177:FS,IFC-178:FS",
IFC-180,AI Foundation,AI Output Review - tRPC Router (API endpoints),Backend Dev (STOA-Quality),IFC-179,FILE:packages/adapters/src/repositories/PrismaAIOutputReviewRepository.ts;FILE:packages/application/src/usecases/ai-review/index.ts;FILE:apps/api/src/trpc.ts,"review.list, review.get, review.claim, review.approve, review.reject, review.escalate, review.stats endpoints; authentication/authorization; verified by: pnpm test",Completed,All endpoints working; auth enforced; response <200ms,5,ARTIFACT:apps/api/src/modules/ai-review/ai-review.router.ts;ARTIFACT:apps/api/src/modules/ai-review/__tests__/ai-review.router.test.ts;SPEC:.specify/sprints/sprint-5/specifications/IFC-180-spec.md;PLAN:.specify/sprints/sprint-5/planning/IFC-180-plan.md;EVIDENCE:.specify/sprints/sprint-5/attestations/IFC-180/context_ack.json,VALIDATE:pnpm test;AUDIT:code-review,90/180/360,2026-02-05,2026-02-06,100,IFC-179:FS,
IFC-181,AI Foundation,AI Output Review - Frontend UI (review queue page),Frontend Dev (STOA-Quality),"IFC-180,IFC-149",FILE:apps/api/src/modules/ai-review/ai-review.router.ts;FILE:apps/web/src/app/agent-approvals/page.tsx;FILE:docs/design/UI_DEVELOPMENT_PROMPT.md;FILE:docs/company/brand/DESIGN_SYSTEM_LLM_INDEX.md;DESIGN:docs/design/mockups/ai-review-queue.html;DESIGN:docs/design/mockups/ai-review-queue.png,Review queue page with filters (status/confidence/chain type); claim/approve/reject actions; confidence score visualization; SLA countdown; follows design system (AppHeader+AppSidebar pattern aligned 2026-02-03); Lighthouse >=90; verified by: pnpm test,Completed,Queue renders correctly; actions work; Lighthouse >=90; dark mode supported,6,ARTIFACT:apps/web/src/app/agent-approvals/ai-review/page.tsx;ARTIFACT:apps/web/src/app/agent-approvals/ai-review/[id]/page.tsx;ARTIFACT:apps/web/src/components/ai-review/ReviewQueue.tsx;ARTIFACT:apps/web/src/components/ai-review/ReviewCard.tsx;ARTIFACT:apps/web/src/components/ai-review/index.ts;ARTIFACT:apps/web/src/lib/ai-review/hooks.ts;ARTIFACT:apps/web/src/lib/shared/date-utils.ts;EVIDENCE:.specify/sprints/sprint-6/attestations/IFC-181/context_ack.json,VALIDATE:pnpm test;GATE:lighthouse-gte-90,180/360/720,2026-02-07,2026-03-15,100,"IFC-180:FS,IFC-149:FS",
