Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
PG-017,Auth Pages,Sign Up Success,Platform FE (STOA-Foundation),PG-016,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/web/src/app/(public)/signup/page.tsx;FILE:apps/web/src/components/shared/auth-background.tsx;FILE:apps/web/src/components/shared/auth-card.tsx;FILE:apps/web/src/components/shared/trust-indicators.tsx;ENV:Success message;POLICY:next steps defined,"Response <200ms, Lighthouse ≥90, onboarding started; artifacts: page.tsx, onboarding-flow.tsx, tracking-pixel.ts",Completed,"Success shown, onboarding initiated, tracking active",13,ARTIFACT:apps/web/src/app/(public)/signup/success/page.tsx;ARTIFACT:apps/web/src/components/shared/onboarding-flow.tsx;ARTIFACT:apps/web/src/lib/shared/tracking-pixel.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/PG-017/attestation.json;EVIDENCE:.specify/sprints/sprint-13/attestations/PG-017/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-06-18,2026-06-20,100,PG-016:FS,
PG-018,Auth Pages,Logout,Platform FE (STOA-Foundation),"PG-015,IFC-006",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/web/src/app/(public)/login/page.tsx;FILE:apps/web/src/components/shared/auth-background.tsx;FILE:apps/web/src/lib/auth/AuthContext.tsx;FILE:apps/web/src/lib/shared/login-security.ts;ENV:Logout flow;ENV:session cleanup,"Response <200ms, Lighthouse ≥90, session cleared; artifacts: page.tsx, session-cleanup.ts, logout-redirect.ts",Completed,"Logout working, session cleared, redirect functional, multi-tab sync, unsaved work modal",13,ARTIFACT:apps/web/src/app/(public)/logout/page.tsx;ARTIFACT:apps/web/src/lib/shared/session-cleanup.ts;ARTIFACT:apps/web/src/lib/shared/logout-redirect.ts;ARTIFACT:apps/web/src/hooks/useLogout.ts;ARTIFACT:apps/web/src/hooks/useUnsavedChanges.tsx;ARTIFACT:apps/web/src/lib/broadcast.ts;ARTIFACT:apps/web/src/components/auth/logout-button.tsx;ARTIFACT:apps/web/src/components/auth/unsaved-work-modal.tsx;EVIDENCE:.specify/sprints/sprint-13/execution/PG-018/20260126-000000/PG-018-delivery.md;ARTIFACT:docs/architecture/adr/ADR-020-public-site-auth.md;ARTIFACT:docs/planning/prd-public-site-auth.md,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-06-17,2026-06-19,100,"PG-015:FS,IFC-006:FS",
PG-019,Auth Pages,Forgot Password,Platform FE (STOA-Foundation),"PG-015,IFC-006",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/web/src/app/(public)/login/page.tsx;FILE:apps/web/src/components/shared/auth-background.tsx;FILE:apps/web/src/components/shared/auth-card.tsx;FILE:apps/web/src/components/shared/trust-indicators.tsx;FILE:apps/web/src/lib/auth/AuthContext.tsx;FILE:packages/validators/src/auth.ts;ENV:Reset flow designed;ENV:email template,"Response <200ms, Lighthouse ≥90, reset email sent; artifacts: page.tsx, reset-email.tsx, reset-token.ts",Completed,"Reset initiated, email sent, link working",13,ARTIFACT:apps/web/src/app/(public)/forgot-password/page.tsx;ARTIFACT:apps/web/src/components/shared/reset-email.tsx;ARTIFACT:apps/web/src/lib/shared/reset-token.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/PG-019/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-06-19,2026-06-21,100,"PG-015:FS,IFC-006:FS",
PG-020,Auth Pages,Reset Password,Platform FE (STOA-Foundation),PG-019,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/web/src/app/(public)/forgot-password/page.tsx;FILE:apps/web/src/components/shared/auth-background.tsx;FILE:apps/web/src/components/shared/auth-card.tsx;FILE:apps/web/src/components/shared/password-input.tsx;FILE:apps/web/src/components/shared/trust-indicators.tsx;FILE:packages/validators/src/auth.ts;ENV:Reset form;POLICY:password requirements,"Response <200ms, Lighthouse ≥90, password updated; artifacts: page.tsx, password-reset.tsx, password-validation.ts",Completed,"Password reset working, requirements enforced, 18 page-level tests, 91 total tests",13,ARTIFACT:apps/web/src/app/(public)/reset-password/[token]/page.tsx;ARTIFACT:apps/web/src/components/shared/password-reset.tsx;ARTIFACT:apps/web/src/lib/shared/password-validation.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/PG-020/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-06-21,2026-06-23,100,PG-019:FS,
PG-021,Auth Pages,MFA Setup,Platform FE (STOA-Foundation),"PG-015,IFC-006,IFC-098",IMPLEMENTS:FLOW-001;FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/web/src/app/(public)/login/page.tsx;FILE:apps/web/src/components/auth/mfa-challenge.tsx;FILE:apps/web/src/lib/auth/AuthContext.tsx;FILE:packages/validators/src/auth.ts;FILE:apps/web/src/lib/shared/code-validator.ts;ENV:MFA options;ENV:QR code generation,"Response <200ms, Lighthouse ≥90, MFA enabled; artifacts: page.tsx, mfa-qr-generator.tsx, backup-codes.ts",Completed,"MFA setup working, QR generated, backup codes created",13,ARTIFACT:apps/web/src/app/settings/security/mfa/page.tsx;ARTIFACT:apps/web/src/components/shared/mfa-qr-generator.tsx;ARTIFACT:apps/web/src/lib/shared/backup-codes.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/PG-021/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,90/180/360,2026-06-20,2026-06-24,100,"PG-015:FS,IFC-006:FS,IFC-098:FS",
PG-022,Auth Pages,MFA Verify,Platform FE (STOA-Foundation),"PG-021,PG-015",IMPLEMENTS:FLOW-001;FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/web/src/app/settings/security/mfa/page.tsx;FILE:apps/web/src/components/auth/mfa-challenge.tsx;FILE:apps/web/src/components/shared/auth-background.tsx;FILE:apps/web/src/lib/auth/AuthContext.tsx;FILE:packages/validators/src/auth.ts;ENV:Verification flow;ENV:code validation,"Response <200ms, Lighthouse ≥90, verification working; artifacts: page.tsx, mfa-verification.tsx, code-validator.ts",Completed,"MFA verification working, codes validated",13,ARTIFACT:apps/web/src/app/(public)/mfa/verify/page.tsx;ARTIFACT:apps/web/src/components/shared/mfa-verification.tsx;ARTIFACT:apps/web/src/lib/shared/code-validator.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/PG-022/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-02-17,2026-02-18,100,"PG-021:FS,PG-015:FS",
PG-023,Auth Pages,Email Verification,Platform FE (STOA-Foundation),"PG-016,IFC-006",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/web/src/app/(public)/signup/page.tsx;FILE:apps/web/src/components/shared/auth-background.tsx;FILE:apps/web/src/components/shared/auth-card.tsx;FILE:apps/web/src/components/shared/trust-indicators.tsx;FILE:apps/web/src/lib/auth/AuthContext.tsx;FILE:packages/validators/src/auth.ts;ENV:Verification link;ENV:token validation,"Response <200ms, Lighthouse ≥90, email verified; artifacts: page.tsx, email-verification.tsx, account-activation.ts",Completed,"Email verification working, account activated",13,ARTIFACT:apps/web/src/app/(public)/verify-email/[token]/page.tsx;ARTIFACT:apps/web/src/components/shared/email-verification.tsx;ARTIFACT:apps/web/src/lib/shared/account-activation.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/PG-023/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-02-19,2026-02-19,100,"PG-016:FS,IFC-006:FS",
PG-024,Auth Pages,SSO Callback,Platform FE (STOA-Foundation),"PG-015,IFC-006",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;FILE:apps/web/src/app/(public)/login/page.tsx;FILE:apps/web/src/components/shared/auth-providers.tsx;FILE:apps/web/src/components/shared/auth-background.tsx;FILE:apps/web/src/components/shared/trust-indicators.tsx;FILE:apps/web/src/lib/auth/AuthContext.tsx;FILE:apps/web/src/lib/shared/login-security.ts;FILE:apps/api/src/lib/supabase.ts;ENV:OAuth callbacks;ENV:token exchange,"Response <200ms, Lighthouse ≥90, SSO complete; artifacts: page.tsx, oauth-callback.tsx, token-exchange.ts",Completed,"SSO callback working, tokens exchanged, user logged in",13,ARTIFACT:apps/web/src/app/(public)/auth/callback/page.tsx;ARTIFACT:apps/web/src/components/shared/oauth-callback.tsx;ARTIFACT:apps/web/src/lib/shared/token-exchange.ts;EVIDENCE:.specify/sprints/sprint-13/attestations/PG-024/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,60/120/240,2026-02-20,2026-02-20,100,"PG-015:FS,IFC-006:FS",
PG-025,Billing Pages,Billing Portal,Platform BE (STOA-Foundation),"IFC-099,IFC-198",IMPLEMENTS:FLOW-048;FILE:docs/planning/prd-billing-portal.md;FILE:docs/architecture/adr/ADR-029-billing-architecture.md;FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Stripe integration;ENV:subscription management;FILE:artifacts/reports/connector-status-dashboard.json,"Response <200ms, Lighthouse ≥90, billing functional; artifacts: page.tsx, billing-portal.tsx, stripe-portal.ts; Stripe integration must be wired to real API (test mode), not mock client",Completed,"Portal working, subscriptions managed, invoices shown",14,ARTIFACT:apps/web/src/app/billing/page.tsx;ARTIFACT:apps/web/src/components/billing/billing-portal.tsx;ARTIFACT:apps/web/src/lib/billing/stripe-portal.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/PG-025/attestation.json,GATE:lighthouse-gte-90;GATE:integration-wired;VALIDATE:pnpm test,120/240/480,2026-06-28,2026-07-03,100,"IFC-099:FS,IFC-198:FS",
PG-026,Billing Pages,Checkout,Platform BE (STOA-Foundation),"PG-025,IFC-198",IMPLEMENTS:FLOW-048;FILE:docs/planning/prd-billing-portal.md;FILE:docs/architecture/adr/ADR-029-billing-architecture.md;FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Payment form;ENV:Stripe Elements;FILE:apps/web/src/app/billing/page.tsx,"Response <200ms, Lighthouse ≥90, payments processing; artifacts: page.tsx, checkout-form.tsx, payment-processor.ts",Completed,"Checkout working, payments processing, receipts sent",14,ARTIFACT:apps/web/src/app/billing/checkout/page.tsx;ARTIFACT:apps/web/src/components/billing/checkout-form.tsx;ARTIFACT:apps/web/src/lib/billing/payment-processor.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/PG-026/attestation.json,GATE:lighthouse-gte-90;VALIDATE:pnpm --filter @intelliflow/web typecheck;VALIDATE:pnpm --filter @intelliflow/web test --run,90/180/360,2026-07-01,2026-07-05,100,"PG-025:FS,IFC-198:FS",
