Router,Procedure,Web Callers,API Internal Callers,Test Files,Classification,Notes
account.account,getActivity,0,0,2,DEAD_FEATURE,Account activity query — no UI page uses it
admin.queues,getByName,0,0,0,DEAD_FEATURE,Queue inspector — no UI or internal caller
agent.agent,executeTool,0,0,1,DEAD_FEATURE,Agent tool execution — no UI caller
agent.agent,getPendingAction,0,1,2,INTERNAL_ONLY,Used by approval-workflow.ts internally
agent.agent,getPendingApprovals,0,1,2,INTERNAL_ONLY,Used by approval-workflow.ts internally
agent.agent,getPendingCount,0,0,1,DEAD_FEATURE,Pending count query — no UI bell/badge uses it
agent.agent,getTool,0,0,1,DEAD_FEATURE,Get single tool — no UI caller
agent.agent,listTools,0,0,1,DEAD_FEATURE,List tools — no UI caller
agent.conversation,addMessage,0,0,1,DEAD_FEATURE,Conversation message — no chat UI caller
agent.conversation,approveToolCall,0,0,1,DEAD_FEATURE,Tool call approval — no UI caller
agent.conversation,archiveOld,0,0,1,DEAD_FEATURE,Archive old conversations — no cron/UI caller
agent.conversation,endConversation,0,0,1,DEAD_FEATURE,End conversation — no UI caller
agent.conversation,getAnalytics,0,1,2,INTERNAL_ONLY,Used internally by conversation.router
agent.conversation,getBySessionId,0,0,1,DEAD_FEATURE,Session lookup — no UI caller
agent.conversation,getPendingApprovals,0,1,2,INTERNAL_ONLY,Used internally
agent.conversation,recordToolCall,0,0,1,DEAD_FEATURE,Record tool call — no UI caller
agent.conversation,updateToolCall,0,0,1,DEAD_FEATURE,Update tool call — no UI caller
ai-monitoring.ai-monitoring,getHallucinationReport,0,0,1,DEAD_FEATURE,Hallucination report — no UI dashboard uses it
analytics.analytics,exportConversionFunnel,0,0,1,DEAD_FEATURE,Export funnel data — no UI download button
analytics.analytics,exportMetrics,0,0,1,DEAD_FEATURE,Export metrics — no UI download button
analytics.analytics,exportReport,0,0,1,DEAD_FEATURE,Export report — no UI download button
analytics.analytics,getConversionFunnel,0,0,1,DEAD_FEATURE,Conversion funnel — no analytics page uses it
analytics.analytics,getLeadMetrics,0,0,1,DEAD_FEATURE,Lead metrics — no analytics page uses it
analytics.analytics,getOverview,0,0,1,DEAD_FEATURE,Analytics overview — no dashboard uses it
analytics.analytics,getSalesMetrics,0,0,1,DEAD_FEATURE,Sales metrics — no analytics page uses it
analytics.analytics,getTimeSeriesData,0,0,1,DEAD_FEATURE,Time series — no chart uses it
analytics.analytics,leadStats,0,0,4,DEAD_FEATURE,Lead stats variant — duplicates lead.stats?
auth.auth,getSessions,0,0,1,DEAD_FEATURE,Session list — no security settings page uses it
autoresponse.autoresponse,markFailed,0,0,4,DEAD_FEATURE,Mark failed — no workflow/UI triggers it
autoresponse.autoresponse,markSent,0,0,4,DEAD_FEATURE,Mark sent — no workflow/UI triggers it
autoresponse.autoresponse,resolveEscalation,0,0,4,DEAD_FEATURE,Resolve escalation — no UI caller
autoresponse.autoresponse,submitForApproval,0,0,4,DEAD_FEATURE,Submit for approval — no UI caller
billing.billing,ensureCustomer,0,0,0,DEAD_FEATURE,Ensure Stripe customer — no checkout flow calls it
billing.billing,getUsageMetrics,0,0,0,DEAD_FEATURE,Usage metrics — no billing page uses it
billing.billing,handleSubscriptionWebhook,0,0,0,WEBHOOK,Stripe webhook — may be called externally
billing.billing,updateBillingInformation,0,0,1,DEAD_FEATURE,Update billing info — no settings page uses it
chain-version.chain-version,getConfig,0,2,5,INTERNAL_ONLY,Used by chain-version router internally
chain-version.chain-version,getHistory,0,2,5,INTERNAL_ONLY,Used by chain-version router internally
contact.contact,getByEmail,0,0,2,DEAD_FEATURE,Contact by email — no UI search uses it
