"file","export","line","action","priority","rationale"
"packages/search/src/indexer.ts","DEFAULT_INDEXER_CONFIG","30","wire-runtime","medium","Search constants/config likely need integration into retrieval/indexing entrypoints."
"packages/search/src/retrieval.ts","DEFAULT_RELEVANCE_CONFIG","114","wire-runtime","medium","Search constants/config likely need integration into retrieval/indexing entrypoints."
"packages/search/src/worker.ts","REINDEX_QUEUE_NAME","19","wire-runtime","medium","Search constants/config likely need integration into retrieval/indexing entrypoints."
"packages/db/src/client.ts","withTransaction","129","decide-wire-or-intentional","high","DB helper exports can be real dead code or shared infra API; needs explicit decision."
"packages/db/src/client.ts","withTransactionOptions","136","decide-wire-or-intentional","high","DB helper exports can be real dead code or shared infra API; needs explicit decision."
"packages/db/src/client.ts","executeRawWithTiming","151","decide-wire-or-intentional","high","DB helper exports can be real dead code or shared infra API; needs explicit decision."
"packages/db/src/client.ts","checkDatabaseHealth","166","decide-wire-or-intentional","high","DB helper exports can be real dead code or shared infra API; needs explicit decision."
"packages/db/src/client.ts","disconnectPrisma","190","decide-wire-or-intentional","high","DB helper exports can be real dead code or shared infra API; needs explicit decision."
"packages/application/src/ports/external/NotificationServicePort.ts","NotificationDeliveryError","105","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/application/src/ports/external/NotificationServicePort.ts","NotificationSchedulingError","112","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/application/src/ports/external/WebhookServicePort.ts","DuplicateWebhookError","118","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/application/src/errors/ApplicationErrors.ts","ExternalServiceError","17","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/application/src/errors/ApplicationErrors.ts","AuthorizationError","28","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/adapters/src/payments/paypal/adapter.ts","PayPalAdapter","80","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/workers/shared/src/worker-config.ts","validateConfig","198","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/workers/shared/src/worker-config.ts","createTestConfig","223","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/ai-worker/src/monitoring/chain-monitor.ts","sanitizeMetricLabel","54","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/ai-worker/src/monitoring/chain-monitor.ts","chainMonitor","213","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/ai-worker/src/chains/sentiment.chain.ts","sentimentChain","445","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/ai-worker/src/chains/churn-risk.chain.ts","churnRiskChain","749","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/ai-worker/src/analytics/feedback-analytics-generator.ts","generateFeedbackAnalyticsCLI","603","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/ai-worker/src/services/embedding-purge.service.ts","createEmbeddingPurgeService","183","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/ai-worker/src/prompts/index.ts","default","162","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/platform/src/resilience/circuit-breaker.ts","withCircuitBreaker","421","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/resilience/retry-policy.ts","Retry","429","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/adapters/src/messaging/email/inbound.ts","inboundEmailParser","677","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/api-client/src/react-client.tsx","TRPCProvider","66","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/adapters/src/shared/prompt-sanitizer.ts","sanitizeOutput","166","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/adapters/src/shared/prompt-sanitizer.ts","logSecurityEvent","349","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/adapters/src/shared/bias-detector.ts","detectModelDrift","162","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/adapters/src/shared/bias-detector.ts","saveBiasMetrics","229","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/adapters/src/shared/bias-detector.ts","generateBiasReport","241","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/adapters/src/antivirus/ClamAVScanner.ts","ClamAVScanner","19","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/adapters/src/messaging/twilio/client.ts","getTwilioClient","232","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/search/src/index.ts","SEARCH_MODES","67","wire-runtime","medium","Search constants/config likely need integration into retrieval/indexing entrypoints."
"packages/search/src/index.ts","SEARCH_SOURCES","75","wire-runtime","medium","Search constants/config likely need integration into retrieval/indexing entrypoints."
"packages/search/src/index.ts","SEARCH_PERFORMANCE","89","wire-runtime","medium","Search constants/config likely need integration into retrieval/indexing entrypoints."
"packages/ai/tools/retrieve-case-context.ts","default","878","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/platform/src/resilience/resilient-call.ts","resilientCall","25","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/connection.ts","checkConnectionHealth","84","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/connection.ts","connectionRegistry","185","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/retry-strategy.ts","createBackoffStrategy","64","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/retry-strategy.ts","globalRetryBudget","234","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/queue-factory.ts","createEmailNotificationsQueue","196","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/queue-factory.ts","createWebhookDeliveryQueue","203","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/queue-factory.ts","enqueueAIScoring","214","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/queue-factory.ts","getQueueHealth","252","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/queue-factory.ts","pauseQueue","275","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/queue-factory.ts","resumeQueue","283","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/queue-factory.ts","shutdownAllQueues","291","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/bull-board.ts","addQueueToBullBoard","70","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/bull-board.ts","removeQueueFromBullBoard","79","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
