id,sprint,status,classification,achievement,evidenceStrength,residualGap
ENV-017-AI,1,Completed,entregue-sem-evidencia,Automated Integration Testing,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
ENV-018-AI,1,Completed,entregue-sem-evidencia,Sprint Planning and Velocity Prediction,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-001,1,Completed,entregue-sem-evidencia,PHASE-001: Technical Architecture Spike - Modern Stack,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-002,1,Completed,entregue-sem-evidencia,PHASE-001: Domain Model Design (DDD),weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-003,1,Completed,entregue-sem-evidencia,PHASE-001: tRPC API Foundation,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-004,2,Completed,entregue-sem-evidencia,PHASE-002: Next.js 16.0.10 Lead Capture UI,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-005,2,Completed,entregue-sem-evidencia,"FLOW-002, FLOW-011: LangChain AI Scoring Prototype",weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-006,3,Completed,entregue-sem-evidencia,PHASE-002: Supabase Integration Test,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-007,3,Completed,entregue-comprovada,PHASE-003: Performance Benchmarks - Modern Stack,strong,
IFC-008,2,Completed,entregue-sem-evidencia,PHASE-003: Security Assessment - OWASP + ISO 42001 Prep,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-009,4,Completed,entregue-sem-evidencia,"PHASE-002: Team Capability Assessment - Modern Stack (Next.js 16.0.10 App Router, Turbopack FS caching, Cache Components",weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-010,6,Completed,entregue-sem-evidencia,PHASE-001: Phase 1 Go/No-Go Decision,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-011,3,Completed,entregue-sem-evidencia,PHASE-002: Supabase Free Tier Optimization,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-012,6,Completed,entregue-sem-evidencia,PHASE-002: Turborepo Monorepo Setup,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-013,6,Completed,entregue-sem-evidencia,PHASE-002: tRPC Router Implementation,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-014,6,Completed,entregue-comprovada,PHASE-002: Next.js 16.0.10 App Router UI,strong,"canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text"
IFC-015,6,Completed,entregue-comprovada,PHASE-002: BullMQ Job Queue Setup,strong,
IFC-016,6,Completed,entregue-comprovada,PHASE-002: Real-time Subscriptions,strong,
IFC-017,6,Completed,entregue-sem-evidencia,PHASE-002: Prisma + Supabase Data Layer,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-018,6,Completed,entregue-comprovada,PHASE-002: Vitest Testing Suite,strong,"canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text"
IFC-019,6,Completed,entregue-sem-evidencia,PHASE-001: Gate 1 Review - £500 Investment,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-020,6,Completed,entregue-comprovada,PHASE-011: LangChain Pipeline Design,strong,
IFC-021,6,Completed,entregue-sem-evidencia,PHASE-011: CrewAI Agent Framework,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-022,6,Completed,entregue-sem-evidencia,PHASE-011: Structured AI Output Implementation,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-023,6,Completed,entregue-sem-evidencia,PHASE-011: AI Explainability UI,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-024,14,Completed,entregue-sem-evidencia,PHASE-011: Human-in-the-Loop Feedback,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-025,6,Completed,entregue-comprovada,PHASE-011: A/B Testing Framework,strong,
IFC-026,15,Completed,entregue-comprovada,PHASE-011: Playwright E2E Testing,strong,"canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text"
IFC-027,15,Completed,entregue-comprovada,PHASE-001: Gate 2 Review - £2000 Investment,strong,
IFC-028,16,Completed,entregue-sem-evidencia,PHASE-005: Workflow Engine with LangGraph,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-029,16,Completed,entregue-sem-evidencia,PHASE-005: Auto-Response with Approval Gate,weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-030,17,Completed,entregue-comprovada,PHASE-005: Smart Lead Routing,strong,
IFC-031,17,Completed,entregue-sem-evidencia,PHASE-005: Workflow Builder UI (React Flow),weak,"attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema"
IFC-032,18,Completed,entregue-comprovada,PHASE-005: OpenTelemetry Monitoring,strong,
