severity,module,vulnerable_range,patched_range,cves,cwe,cvss_score,title,remediation,advisory_url,advisory_id,dep_paths
moderate,brace-expansion,<1.1.13,>=1.1.13,CVE-2026-33750,CWE-400,6.5,brace-expansion: Zero-step sequence causes process hang and memory exhaustion,Upgrade to version 1.1.13 or later,https://github.com/advisories/GHSA-f886-m6hf-6m8v,1115540,.>@lhci/cli>chrome-launcher>rimraf>glob>minimatch>brace-expansion
moderate,brace-expansion,>=2.0.0 <2.0.3,>=2.0.3,CVE-2026-33750,CWE-400,6.5,brace-expansion: Zero-step sequence causes process hang and memory exhaustion,Upgrade to version 2.0.3 or later,https://github.com/advisories/GHSA-f886-m6hf-6m8v,1115541,.>@testcontainers/postgresql>testcontainers>archiver>archiver-utils>glob>minimatch>brace-expansion
moderate,brace-expansion,>=4.0.0 <5.0.5,>=5.0.5,CVE-2026-33750,CWE-400,6.5,brace-expansion: Zero-step sequence causes process hang and memory exhaustion,Upgrade to version 5.0.5 or later,https://github.com/advisories/GHSA-f886-m6hf-6m8v,1115543,.>@typescript-eslint/eslint-plugin>@typescript-eslint/type-utils>@typescript-eslint/typescript-estree>minimatch>brace-expansion
moderate,next,>=16.0.0-beta.0 <16.1.7,>=16.1.7,CVE-2026-29057,CWE-444,0,Next.js: HTTP request smuggling in rewrites,Upgrade to version 16.1.7 or later,https://github.com/advisories/GHSA-ggv3-7p47-pfv8,1114898,apps__project-tracker>next
moderate,next,>=16.0.0-beta.0 <16.1.7,>=16.1.7,CVE-2026-27980,CWE-400,0,Next.js: Unbounded next/image disk cache growth can exhaust storage,Upgrade to version 16.1.7 or later,https://github.com/advisories/GHSA-3x4c-7xq6-9pq8,1114941,apps__project-tracker>next
moderate,next,>=16.0.1 <16.1.7,>=16.1.7,CVE-2026-27979,CWE-770,0,Next.js: Unbounded postponed resume buffering can lead to DoS,Upgrade to version 16.1.7 or later,https://github.com/advisories/GHSA-h27x-g6w4-24gq,1114942,apps__project-tracker>next
moderate,next,>=16.0.1 <16.1.7,>=16.1.7,CVE-2026-27978,CWE-352,0,Next.js: null origin can bypass Server Actions CSRF checks,Upgrade to version 16.1.7 or later,https://github.com/advisories/GHSA-mq59-m269-xvcx,1114943,apps__project-tracker>next
moderate,nodemailer,<=8.0.4,>=8.0.5,,CWE-93,4.9,Nodemailer Vulnerable to SMTP Command Injection via CRLF in Transport name Option (EHLO/HELO) ,Upgrade to version 8.0.5 or later,https://github.com/advisories/GHSA-vvjj-xcjg-gr5g,1116270,apps__workers__notifications-worker>nodemailer
moderate,smol-toml,<1.6.1,>=1.6.1,,CWE-674,5.3,smol-toml: Denial of Service via TOML documents containing thousands of consecutive commented lines,Upgrade to version 1.6.1 or later,https://github.com/advisories/GHSA-v3rj-xjv7-4jmq,1115393,.>cspell>cspell-config-lib>smol-toml|.>markdownlint-cli>smol-toml
moderate,unhead,<=2.1.10,>=2.1.11,CVE-2026-31860,CWE-79,0,Unhead has XSS bypass in `useHeadSafe` via attribute name injection and case-sensitive protocol check,Upgrade to version 2.1.11 or later,https://github.com/advisories/GHSA-g5xx-pwrp-g3fv,1114468,apps__web>@scalar/api-reference-react>@scalar/api-reference>@unhead/vue>unhead
moderate,yaml,>=2.0.0 <2.8.3,>=2.8.3,CVE-2026-33532,CWE-674,4.3,yaml is vulnerable to Stack Overflow via deeply nested YAML collections,Upgrade to version 2.8.3 or later,https://github.com/advisories/GHSA-48c2-rrv3-qjmp,1115556,.>yaml
low,next,>=16.0.1 <16.1.7,>=16.1.7,CVE-2026-27977,CWE-1385,0,Next.js: null origin can bypass dev HMR websocket CSRF checks,Upgrade to version 16.1.7 or later,https://github.com/advisories/GHSA-jcc7-9wpm-mj36,1115360,apps__project-tracker>next
low,nodemailer,<8.0.4,>=8.0.4,,CWE-93,0,Nodemailer has SMTP command injection due to unsanitized `envelope.size` parameter,Upgrade to version 8.0.4 or later,https://github.com/advisories/GHSA-c7w3-x93f-qmm8,1115470,apps__workers__notifications-worker>nodemailer
low,unhead,<=2.1.10,>=2.1.11,CVE-2026-31873,CWE-79,0,Unhead Vulnerable to Bypass of URI Scheme Sanitization in makeTagSafe via Case-Sensitivity,Upgrade to version 2.1.11 or later,https://github.com/advisories/GHSA-5339-hvwr-7582,1114467,apps__web>@scalar/api-reference-react>@scalar/api-reference>@unhead/vue>unhead
