Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
IFC-043,Documentation,"Operational runbooks (deploy, rollback, incident response, backup/restore, access requests)",DevOps + Tech Lead (STOA-Automation),"ENV-008-AI,IFC-112,IFC-113,IFC-115,IFC-130",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Infrastructure stable;POLICY:procedures defined;FILE:docs/operations/quality-gates.md;FILE:docs/operations/release-rollback.md;FILE:artifacts/misc/otel-config.yaml;FILE:artifacts/metrics/blue-green-metrics.csv;FILE:artifacts/misc/vault-config.yml;FILE:artifacts/misc/backup-scripts.sh;FILE:docs/release/promotion-policy.md,"Incident response, deployment, rollback procedures; artifacts: incident-response-flowchart.svg, deployment-checklist.md, rollback-test.log; targets: <30min; verified by: pnpm test",Backlog,"All procedures tested, <30min MTTR",25,ARTIFACT:docs/operations/incident-response-flowchart.svg;ARTIFACT:docs/operations/deployment-checklist.md;ARTIFACT:artifacts/logs/rollback-test.log;EVIDENCE:.specify/sprints/sprint-25/attestations/IFC-043/context_ack.json,VALIDATE:pnpm test,120/240/480,2026-11-29,2026-12-06,0,"ENV-008-AI:FS,IFC-112:FS,IFC-113:FS,IFC-115:FS,IFC-130:FS",
IFC-044,Testing,Unit Tests (Vitest + TDD),All Developers (STOA-Foundation),ENV-010-AI,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Vitest configured;ENV:TDD workflow adopted;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md,"90%+ coverage, all business logic tested; artifacts: lcov.info, test-execution-time.log, tdd-compliance.csv; gates: coverage-gte-90",Completed,"Coverage >90%, tests fast (<30s)",0,ARTIFACT:vitest.config.ts;ARTIFACT:artifacts/logs/test-execution-time.log;ARTIFACT:artifacts/metrics/tdd-compliance.csv;ARTIFACT:artifacts/reports/mutation-test.json;EVIDENCE:.specify/sprints/sprint-0/attestations/IFC-044/context_ack.json,VALIDATE:pnpm test;GATE:coverage-gte-90,90/180/360,2025-12-20,2025-12-25,100,ENV-010-AI:FS,
IFC-045,Testing,Integration Tests (Vitest + MSW),QA + Backend Dev (STOA-Quality),IFC-044,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:MSW configured;ENV:test data factories ready;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md,"API integrations tested with mocks; artifacts: integration-coverage.json, context_ack.json",Completed,"All external calls mocked, reliable tests",14,ARTIFACT:apps/web/src/lib/test-runner/index.ts;ARTIFACT:apps/web/src/test/mocks/handlers.ts;ARTIFACT:apps/web/src/test/mocks/server.ts;ARTIFACT:apps/web/src/app/governance/quality-reports/__tests__/integration.test.tsx;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-045/context_ack.json;ARTIFACT:tests/integration/api.test.ts;ARTIFACT:tests/integration/README.md,VALIDATE:pnpm test,90/180/360,2026-06-28,2026-07-04,100,IFC-044:FS,
IFC-046,Testing,Security Tests (OWASP ZAP + Snyk),Security Eng + QA (STOA-Security),IFC-008,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:ZAP configured;ENV:Snyk integrated;FILE:docs/security/zero-trust-design.md;FILE:docs/security/owasp-checklist.md;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md;FILE:artifacts/reports/compliance-report.md,Automated security scanning in CI/CD,Backlog,"0 high vulnerabilities, OWASP compliant",23,ARTIFACT:.github/workflows/security.yml;ARTIFACT:artifacts/misc/zap-report.xml;ARTIFACT:artifacts/reports/snyk-report.json;ARTIFACT:docs/security/security-baseline.md;EVIDENCE:.specify/sprints/sprint-23/attestations/IFC-046/context_ack.json;ARTIFACT:docs/planning/adr/ADR-015-security-validation.md,AUDIT:security-review;VALIDATE:pnpm typecheck;VALIDATE:pnpm test,120/240/480,2026-11-01,2026-11-08,0,IFC-008:FS,
IFC-047,Testing,Performance Tests (k6 + Lighthouse),Performance Eng (STOA-Quality),IFC-007,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:k6 scripts ready;ENV:Lighthouse CI configured;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md;FILE:artifacts/misc/k6/scripts/load-test.js,"Automated performance regression prevention; artifacts: .lighthouserc.js, performance-budgets.json, regression-alerts.yaml; targets: <100ms; gates: p99-latency-check",Backlog,"p99 <100ms maintained, Core Web Vitals green",22,ARTIFACT:lighthouserc.js;ARTIFACT:artifacts/benchmarks/performance-budgets.json;ARTIFACT:artifacts/misc/regression-alerts.yaml;EVIDENCE:.specify/sprints/sprint-22/attestations/IFC-047/context_ack.json;ARTIFACT:docs/planning/adr/ADR-018-performance-load-testing.md,GATE:p99-latency-check,90/180/360,2026-10-18,2026-10-24,0,IFC-007:FS,
IFC-048,Testing,User Acceptance Testing,PM + Sales Team (STOA-Foundation),IFC-039,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:All features complete;POLICY:test scenarios defined;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md;FILE:artifacts/misc/embeddings-quality-test.json,"Real users validate workflows and AI accuracy; artifacts: uat-test-scenarios.xlsx, uat-results.csv, feedback-action-items.md; targets: >=90%",Backlog,"90% satisfaction, feedback incorporated",25,ARTIFACT:artifacts/reports/uat-test-scenarios.xlsx;ARTIFACT:artifacts/misc/uat-results.csv;ARTIFACT:docs/shared/feedback-action-items.md;EVIDENCE:.specify/sprints/sprint-25/attestations/IFC-048/context_ack.json,VALIDATE:pnpm typecheck,90/180/360,2026-11-29,2026-12-05,0,IFC-039:FS,
IFC-049,Investment Gate,Gate 4 Review - £5000 Investment,CEO + Board (STOA-Leadership),IFC-048,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:All features complete;ENV:metrics positive;FILE:docs/shared/review-checklist.md;FILE:docs/operations/quality-gates.md;FILE:artifacts/reports/uat-test-scenarios.xlsx,"Decision on productization and scale; artifacts: final-investment-review.pptx, market-validation.pdf, product-roadmap-2025.xlsx",Backlog,"Product strategy clear, market validated",26,ARTIFACT:artifacts/misc/final-investment-review.pptx;ARTIFACT:artifacts/reports/market-validation.pdf;ARTIFACT:artifacts/reports/product-roadmap-2025.xlsx;ARTIFACT:artifacts/reports/board-resolution.pdf;EVIDENCE:.specify/sprints/sprint-26/attestations/IFC-049/context_ack.json,VALIDATE:pnpm lint,60/120/180,2026-12-13,2026-12-16,0,IFC-048:FS,
IFC-050,Launch,Internal Launch Preparation,PM + Marketing (STOA-Foundation),IFC-048,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Training materials ready;ENV:team briefed;FILE:docs/shared/review-checklist.md;FILE:docs/operations/pr-checklist.md;FILE:artifacts/reports/uat-test-scenarios.xlsx,"Team onboarded to modern stack and features; artifacts: team-quiz-results.csv, onboarding-checklist.md, launch-readiness.pdf; targets: >=100%",Backlog,"100% team trained, documentation complete",26,ARTIFACT:docs/shared/onboarding-checklist.md;ARTIFACT:artifacts/reports/launch-readiness.pdf;EVIDENCE:.specify/sprints/sprint-26/attestations/IFC-050/context_ack.json,VALIDATE:pnpm typecheck,90/180/360,2026-12-13,2026-12-19,0,IFC-048:FS,
IFC-051,Launch,Pilot Customer Selection,Sales + CEO (STOA-Leadership),IFC-049,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:Customer criteria defined;ENV:NDA templates ready;FILE:artifacts/misc/final-investment-review.pptx,"2-3 pilot customers for beta testing; artifacts: pilot-customer-criteria.md, expectations-matrix.xlsx, context_ack.json",Backlog,"Pilots confirmed, expectations documented",27,ARTIFACT:docs/shared/pilot-customer-criteria.md;ARTIFACT:artifacts/reports/expectations-matrix.xlsx;EVIDENCE:.specify/sprints/sprint-27/attestations/IFC-051/context_ack.json,VALIDATE:pnpm test,60/120/240,2026-12-27,2026-12-31,0,IFC-049:FS,
IFC-052,Launch,Production Deployment,DevOps + Whole Team (STOA-Automation),"IFC-040,IFC-050",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Vercel + Railway production ready;ENV:rollback plan;FILE:docs/shared/review-checklist.md;FILE:docs/operations/pr-checklist.md;FILE:docs/operations/release-rollback.md;FILE:docs/shared/production-checklist.md;FILE:artifacts/misc/team-quiz-results.csv,"Zero-downtime deployment with feature flags; artifacts: deployment-log.txt, feature-flags-config.json, monitoring-dashboard.url; verified by: pnpm test",Backlog,"Deployed successfully, monitoring active",27,ARTIFACT:artifacts/misc/deployment-log.txt;ARTIFACT:artifacts/misc/feature-flags-config.json;ARTIFACT:artifacts/misc/monitoring-dashboard.url;ARTIFACT:artifacts/logs/rollback-test.log;EVIDENCE:.specify/sprints/sprint-27/attestations/IFC-052/context_ack.json,VALIDATE:pnpm test,120/240/480,2026-12-27,2027-01-03,0,"IFC-040:FS,IFC-050:FS",
